dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
asbestos,(3)_Above_legal_limit,3,0.0048675537109375,0,39,20,14,9,40.62222222222222,20.5,0.01199960708618164,864,93
asbestos,(3)_Above_legal_limit,5,0.0048985481262207,0,39,20,14,9,40.4,20.6,0.012129545211791992,872,93
bupa,1,2,0.0105605125427246,0,300,246,131,122,300.0,244.2,0.028855085372924805,2324,301
bupa,1,3,0.0272624492645263,0,1340,413,634,171,1455.8666666666666,381.0,0.04605746269226074,4090,2325
bupa,1,5,0.0288209915161132,0,1411,424,671,173,1482.4666666666667,402.85,0.047490596771240234,4212,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0133037567138671,0,325,275,0,0,325.0,275.0,0.02987074851989746,2425,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0383486747741699,0,1575,1525,0,0,1575.0,1525.0,0.05048775672912598,4325,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.1319150924682617,0,4700,1525,0,0,4700.0,1525.0,0.06460428237915039,5725,68406
cardio3,2,2,0.0512177944183349,0,2213,704,742,272,2213.0,770.9625,0.08420896530151367,6568,2347
cardio3,2,3,0.1426806449890136,0,6794,2499,4857,448,6838.866666666667,4000.5625,0.11530637741088867,8850,52463
cardio3,2,5,0.8413817882537842,0,20057,12919,18073,633,23813.865,37388.470625,0.13556432723999023,10082,11290976
volcanoes-d4,3,2,0.0100016593933105,0,78,59,17,17,78.0,58.725,0.01969456672668457,1112,79
volcanoes-d4,3,3,0.011275291442871,0,138,94,36,36,142.0,91.15,0.030593395233154297,1801,299
volcanoes-d4,3,5,0.0113666057586669,0,138,94,36,36,141.73333333333332,91.225,0.028977394104003906,1794,299
pitt2_3,LONG,2,0.0073919296264648,0,159,71,78,40,159.0,72.99375,0.019991159439086914,1623,277
pitt2_3,LONG,3,0.0085265636444091,0,241,118,116,64,276.44166666666666,125.02083333333334,0.026746034622192383,2181,2048
pitt2_3,LONG,5,0.0090529918670654,0,255,127,123,69,309.2729166666667,138.31979166666667,0.029589414596557617,2345,44552
grammatical_b5,1,2,2.294153928756714,0,128443,6978,116291,735,128443.0,8761.75,0.7312607765197754,51583,700337
grammatical_b5,1,3,5.717564582824707,0,267324,106718,255149,942,246354.88888888888,155579.97916666666,0.9931693077087402,54743,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1213140487670898,0,325,275,139,134,325.0,275.0,0.15338373184204102,2425,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2538650035858154,0,1575,1525,768,308,1575.0,1525.0,0.20768404006958008,4325,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0496175289154053,0,7825,4650,3955,428,7825.0,4650.0,0.29191160202026367,6625,68406
pitt1_4,S,2,0.0075652599334716,0,177,65,82,34,177.0,61.9875,0.026096105575561523,1724,301
pitt1_4,S,3,0.008157730102539,0,223,91,101,44,242.45,102.675,0.025434017181396484,2140,2325
pitt1_4,S,5,0.0083439350128173,0,224,92,101,44,282.25,103.93125,0.02714252471923828,2267,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.727981328964233,0,5050,2800,2224,365,5050.0,2833.75,3.9434316158294678,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.7825345993042,0,56890,27703,28709,587,62170.0,26807.5,5.276477098464966,15109,166751
gesture_va,P,2,0.6442153453826904,0,8256,7646,4281,469,8256.0,7760.0,0.29953527450561523,12828,8257
