dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
statlog_australian,1,2,0.0259275436401367,0,1282,291,531,252,1282.0,421.6666666666667,0.0397183895111084,2801,1654
statlog_australian,1,3,0.0421829223632812,0,2222,408,1309,372,1986.6666666666667,869.8148148148148,0.045613765716552734,3491,30914
statlog_australian,1,5,0.0441231727600097,0,2311,458,1395,414,1780.0333333333333,1545.6574074074074,0.047250986099243164,3628,4613030
hiv_schilling,1,2,0.1849265098571777,0,11038,271,3159,310,11038.0,323.171875,0.26218247413635254,23680,12881
hiv_schilling,1,3,0.188056468963623,0,11162,271,3279,310,11101.95061728395,322.015625,0.26778602600097656,24178,682801
hiv_schilling,1,5,0.1867070198059082,0,11162,271,3279,310,11104.91975308642,284.4375,0.27135133743286133,24125,847361193
heart-long-beach,4,2,0.0153291225433349,0,637,375,303,188,637.0,404.09090909090907,0.020263195037841797,1436,904
heart-long-beach,4,3,0.0434575080871582,0,2487,1139,1633,320,2442.681818181818,1106.388888888889,0.027373790740966797,2142,12384
heart-long-beach,4,5,0.1076745986938476,0,4544,2431,3566,400,5006.166666666667,2878.979797979798,0.03206777572631836,2455,974982
datatrieve,2,2,0.0110619068145751,0,408,136,137,86,408.0,128.91666666666666,0.011555194854736328,840,466
datatrieve,2,3,0.0142445564270019,0,597,216,283,168,693.0555555555555,252.0,0.013797998428344727,1029,4526
datatrieve,2,5,0.0167133808135986,0,700,313,386,238,735.5027777777777,324.6347222222222,0.015722036361694336,1114,174437
jEdit_4.0_4.2,2,2,0.0111196041107177,0,406,230,181,139,406.0,245.63636363636363,0.011312484741210938,757,407
jEdit_4.0_4.2,2,3,0.0224289894104003,0,1105,343,714,234,1216.5151515151515,596.2727272727273,0.01548624038696289,1107,3683
jEdit_4.0_4.2,2,5,0.0245110988616943,0,1183,389,787,273,1557.1393939393938,749.2757575757576,0.01743149757385254,1208,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.012898206710815,0,325,275,143,134,325.0,275.0,7.166858434677124,625,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.12784695625305,0,1575,1208,787,227,1575.0,1350.0,9.63139271736145,1100,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,45.778703927993774,0,3764,2599,1887,234,3658.3333333333335,2075.0,10.670227527618408,1385,68406
pitt1_2,WOOD,2,0.0064671039581298,0,115,44,56,27,115.0,42.73684210526316,0.49452733993530273,323,301
pitt1_2,WOOD,3,0.0069098472595214,0,140,59,72,35,164.3684210526316,59.19298245614035,0.007582664489746094,396,2325
pitt1_2,WOOD,5,0.0071091651916503,0,141,60,72,35,227.55263157894737,89.58771929824562,0.008073806762695312,442,55455
backache,2,2,0.0458660125732421,0,2792,968,1431,358,2792.0,1044.2222222222222,0.07368206977844238,6661,4187
backache,2,3,0.1635553836822509,0,10332,3425,6106,570,9350.48717948718,6398.259259259259,0.10260152816772461,8791,125672
backache,2,5,1.264134645462036,0,31926,17463,11672,753,49831.40448717949,74759.53634259259,0.1223602294921875,10581,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.952651023864746,0,39116,10199,17628,410,39116.0,10646.244402985074,1.2601885795593262,93465,56281
