dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
molecular_promoter,+,3,0.3928525447845459,0,26245,476,10260,495,26033.170833333334,886.0566666666667,0.23322248458862305,23073,1975583
molecular_promoter,+,5,0.3975379467010498,0,26254,480,10269,499,26082.117708333335,974.3974999999999,0.2561511993408203,23128,5024313128
blood,1,2,0.0072486400604248,0,136,97,46,46,136.0,97.36,0.019522428512573242,1516,137
blood,1,3,0.0100235939025878,0,281,178,102,84,325.43333333333334,180.85333333333332,0.028466224670410156,2452,697
blood,1,5,0.0106112957000732,0,306,203,114,96,336.95,196.09333333333333,0.02991962432861328,2607,2517
weight,B,2,1.051807880401611,0,68852,525,48830,391,68852.0,680.8,0.35965943336486816,37487,172579
weight,B,3,1.0636796951293943,0,69214,607,49192,476,68990.75,1600.25,0.417224645614624,37756,33710824
weight,B,5,1.068208932876587,0,69297,690,49275,518,68961.76666666666,1397.7983333333334,0.4457883834838867,37678,575871962176
ozone1,1,2,0.6264286041259766,0,32926,818,13093,467,32926.0,981.76,0.34077978134155273,25786,41042
ozone1,1,3,0.7449984550476074,0,36992,2517,17159,583,33580.933333333334,4989.866666666667,0.33272719383239746,26194,3899182
ozone1,1,5,2.1632046699523926,0,61170,23114,41337,648,38486.26666666667,72342.05866666666,0.361480712890625,26797,15671998629
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3498854637145996,0,325,275,0,0,325.0,275.0,0.3404550552368164,2425,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.696265697479248,0,1575,1525,0,0,1575.0,1525.0,0.4976017475128174,4325,2626
