dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
volcanoes-b5,4,2,0.0151004791259765,0,78,56,20,20,78.0,55.68,0.019115924835205078,1112,79
volcanoes-b5,4,3,0.0136849880218505,0,128,89,37,37,134.525,90.62,0.027859926223754883,1744,299
volcanoes-b5,4,5,0.0118200778961181,0,128,89,37,37,135.275,90.24,0.027797460556030273,1749,299
wilt,w,2,0.0160253047943115,0,210,158,78,78,210.0,156.6,0.028243064880371094,1920,211
wilt,w,3,0.0256655216217041,0,648,449,308,203,733.5,472.3333333333333,0.04516315460205078,3229,1351
wilt,w,5,0.0322990417480468,0,954,586,572,240,1207.55625,652.3016666666666,0.05389237403869629,3914,21700
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.2042920589447021,0,325,275,144,134,325.0,275.0,0.13745999336242676,2425,326
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.4104428291320801,0,1575,1313,775,307,1575.0,1318.3333333333333,0.20477509498596191,4325,2626
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5846009254455566,0,4236,2849,2142,392,4805.9375,2861.875,0.26453185081481934,5862,68406
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.0214715003967285,0,325,275,136,131,325.0,275.0,0.04585671424865723,2425,326
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.0565817356109619,0,1575,1525,782,307,1575.0,1525.0,0.06737852096557617,4325,2626
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.391587495803833,0,6561,4293,3794,400,7547.65625,4481.25,0.09754776954650879,6569,68406
mfeat-karhunen,8,2,0.8034975528717041,0,32387,5862,13132,370,32387.0,6870.7,0.33030200004577637,25556,32897
mfeat-karhunen,8,3,3.3276596069335938,0,132306,6719,112986,595,171968.99583333332,19277.33,0.3906979560852051,30658,2796417
mfeat-karhunen,8,5,3.410412311553955,0,133119,6823,113799,635,213033.22875,63152.3375,0.40981245040893555,31489,8987138113
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0043780803680419,0,7,5,4,4,7.0,5.025,0.006165266036987305,204,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.0041770935058593,0,7,5,4,4,7.0,5.1,0.004808187484741211,204,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0041244029998779,0,7,5,4,4,7.0,4.95,0.004644870758056641,204,11
Iris_UCI_,Iris-virginica,2,0.0060122013092041,0,82,34,42,27,82.0,31.62,0.013136148452758789,1116,137
Iris_UCI_,Iris-virginica,3,0.0062894821166992,0,98,40,55,32,103.875,40.64,0.01694035530090332,1397,697
Iris_UCI_,Iris-virginica,5,0.0064156055450439,0,98,40,55,32,103.0125,38.48,0.016768455505371094,1395,2517
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.0140371322631835,0,7,5,4,4,7.0,5.085,0.012569904327392578,204,11
