dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
hiv_schilling,1,5,0.6185629367828369,0,33801,577,9699,313,23203.836875,507.16,0.17747211456298828,15298,847361193
heart-long-beach,4,2,0.0195646286010742,0,728,438,315,188,695.6625,414.525,0.04337286949157715,3444,904
heart-long-beach,4,3,0.0930099487304687,0,4798,1427,2048,344,3940.2791666666667,1411.5,0.0615696907043457,5056,12384
heart-long-beach,4,5,0.2981688976287842,0,16178,3507,6962,529,19526.699739583335,4532.639583333334,0.07587718963623047,6039,974982
datatrieve,2,2,0.0121641159057617,0,399,137,137,86,392.55,133.3,0.030567169189453125,2732,466
datatrieve,2,3,0.0251829624176025,0,1115,268,363,168,934.4083333333333,213.33333333333334,0.03753662109375,3209,4526
datatrieve,2,5,0.034538984298706,0,1731,348,606,238,1208.1367708333335,249.11966666666666,0.04098653793334961,3264,174437
jEdit_4.0_4.2,2,2,0.0124228000640869,0,368,264,181,139,368.22,237.18,0.03320121765136719,2730,407
jEdit_4.0_4.2,2,3,0.0381591320037841,0,1678,514,829,255,1357.6466666666668,397.9,0.04919552803039551,3682,3683
jEdit_4.0_4.2,2,5,0.080718994140625,0,4097,771,1882,399,2466.607666666667,503.565,0.05041766166687012,3825,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.08850908279419,0,276,276,143,134,276.0,276.0,13.675774097442627,2427,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.70978307723999,0,1526,1209,787,286,1632.25,1249.3333333333333,21.280896425247192,4327,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,30.06909203529358,0,5036,2600,2572,372,6474.28125,2288.5,25.971111297607422,5579,68406
pitt1_2,WOOD,2,0.00738525390625,0,170,45,63,27,157.755,45.94,0.5070962905883789,1326,301
pitt1_2,WOOD,3,0.0100314617156982,0,324,60,121,35,318.57416666666666,61.596666666666664,0.02257084846496582,1684,2325
pitt1_2,WOOD,5,0.0106935501098632,0,368,61,137,35,369.9184375,63.346666666666664,0.024084806442260742,1714,55455
backache,2,2,0.0690157413482666,0,3293,1423,1531,358,3171.14,1155.03,0.08276963233947754,7393,4187
backache,2,3,0.3409831523895263,0,18046,6386,9107,644,25198.87416666667,8437.37,0.11435794830322266,9926,125672
backache,2,5,3.711821794509888,0,202020,71072,83088,1210,479152.70936458337,158664.104,0.14522433280944824,12501,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,1.0096774101257324,0,44044,11129,18177,410,43077.405,12087.28,0.42789483070373535,28137,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,22.42337942123413,0,1134230,32289,444579,461,1055462.73375,47198.965,0.5496275424957275,36278,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,57.08138513565064,0,2958304,32298,1125697,461,2032844.1703125,31547.065,0.5493533611297607,35869,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9312732219696044,0,276,276,134,129,276.0,276.0,1.1391198635101318,2427,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.5057823657989502,0,1526,1526,766,293,1630.1666666666665,1526.0,1.6370413303375244,4327,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.3515350818634038,0,7776,4651,3909,385,12257.770833333332,4651.0,2.2120819091796875,6627,68406
thyroid_hypothyroid,hypothyroid,2,0.0218679904937744,0,507,303,189,167,470.47,243.34,0.0980687141418457,2736,596
thyroid_hypothyroid,hypothyroid,3,0.0701165199279785,0,2449,1155,1058,307,1979.985,1059.0733333333333,0.05959796905517578,3854,6580
thyroid_hypothyroid,hypothyroid,5,0.521195650100708,0,19503,9506,11332,493,20358.789791666666,11893.442333333332,0.08696913719177246,5630,331212
grammatical_a3,1,2,2.4688520431518555,0,122844,1801,82780,604,98559.3125,1539.525,0.3686411380767822,21593,709837
grammatical_a3,1,3,14.08420729637146,0,735627,13110,499908,776,447318.4666666667,11576.325,0.6081554889678955,22849,281569472
grammatical_a3,1,5,546.9151494503021,0,28199086,489349,18824212,1017,10425679.21703125,306336.5316666667,0.6364433765411377,23902,19886491853720
crx,positive,2,0.0363032817840576,0,1483,645,633,261,1432.2,532.7,0.07317829132080078,5163,1892
crx,positive,3,0.1178870201110839,0,5518,1208,2721,482,5346.586666666667,990.4733333333334,0.07406091690063477,6073,37882
crx,positive,5,0.2684345245361328,0,13129,1620,7779,736,32730.1355,5624.093666666667,0.08608317375183105,6699,6508884
GermanCredit_UCI_,2,2,0.06402587890625,0,2664,1055,1353,258,2682.65,1065.86,0.08903908729553223,7377,2851
GermanCredit_UCI_,2,3,0.2476472854614257,0,11329,2618,6908,392,20347.128333333334,5723.05,0.11938142776489258,9703,70376
GermanCredit_UCI_,2,5,0.4566066265106201,0,21584,4884,14259,681,189212.16486458332,56481.56166666667,0.13020873069763184,10537,18545216
pc1,2,2,0.0624582767486572,0,2749,680,806,329,2747.125,558.625,0.08858990669250488,7477,2851
pc1,2,3,0.1886837482452392,0,9270,1802,3236,459,9787.25,2711.5,0.10050296783447266,8384,70376
pc1,2,5,1.5318822860717771,0,84733,20282,28476,1349,135197.48984375,37638.98125,0.11636948585510254,9338,18545216
mfeat-pixel,8,2,4.902970790863037,0,221665,5143,125100,901,170136.15,5760.0,0.4800682067871094,27550,1358777
mfeat-pixel,8,3,29.454748392105103,0,1362920,33099,973908,1448,1491521.15,79551.03333333334,0.9115920066833496,30529,745969673
mfeat-pixel,8,5,636.2977113723755,0,29740385,352388,24125069,2843,131182747.75,7180833.403333333,0.9484081268310547,32211,100992507946877
hv_noise,0,2,1.4549965858459473,0,79601,20201,26173,422,79601.0,20201.0,0.5108330249786377,40302,80201
hv_noise,0,3,45.03236937522888,0,2666801,667001,802211,750,2218133.0,667001.0,0.5614016056060791,50102,10667001
image,WINDOW,2,0.0579102039337158,0,2134,532,835,281,2090.1,435.62,0.08851838111877441,6173,2557
image,WINDOW,3,0.167536973953247,0,7695,969,3945,529,6407.340833333334,1297.42,0.10002493858337402,6912,59712
image,WINDOW,5,0.6197314262390137,0,30680,2352,18324,867,24220.416166666666,3715.6783333333333,0.10315656661987305,7108,14051256
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.200612545013428,0,276,276,132,127,276.0,276.0,13.835310459136963,2427,326
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.8527729511261,0,1526,1526,747,304,1651.0,1526.0,21.174020528793335,4327,2626
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,41.23102045059204,0,7776,4651,3885,432,11892.666666666666,4651.0,29.555455446243286,6627,68406
polish_bankruptcy_4year,1,2,0.8800387382507324,0,32361,1779,12510,454,32349.3875,2076.7,0.8351733684539795,25658,32897
polish_bankruptcy_4year,1,3,3.513622045516968,0,148437,7972,90852,754,133561.65,12944.8,0.37975525856018066,26787,2796417
polish_bankruptcy_4year,1,5,47.05446648597717,0,2099165,84726,1503505,1576,2447595.72390625,292769.0075,0.4007115364074707,27787,8987138113
lung,3,2,0.1102523803710937,0,5896,1001,2542,235,4996.74,917.92,0.09247207641601562,7257,12091
lung,3,3,0.5487134456634521,0,31766,3561,16316,363,34035.51,5958.4,0.11262369155883789,9372,620776
lung,3,5,2.464592218399048,0,139420,12535,77433,490,556643.146125,91721.458,0.1419355869293213,11741,722277712
credit,+,2,0.0355339050292968,0,1483,604,640,266,1448.71,416.22,0.06270217895507812,5163,1892
credit,+,3,0.10648775100708,0,5151,1054,2636,455,4970.0199999999995,1064.4,0.0733799934387207,5989,37882
credit,+,5,0.2704839706420898,0,13313,1634,8027,773,31488.698875,5960.837,0.08561158180236816,6761,6508884
lymphography,fibrosis,2,0.0213186740875244,0,870,209,330,150,737.3625,202.96,0.036676645278930664,2661,1771
lymphography,fibrosis,3,0.0667998790740966,0,3537,380,1271,236,2254.68375,327.79,0.05171632766723633,3356,34280
lymphography,fibrosis,5,0.1462337970733642,0,8426,450,2846,254,4616.088703125,398.94625,0.054407596588134766,3649,5495792
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.0546879768371582,0,156,152,109,103,160.08,151.1,0.08502626419067383,1822,211
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.0737173557281494,0,546,281,434,190,631.2958333333333,302.84666666666664,0.12248802185058594,3102,1351
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.0869724750518798,0,796,406,684,253,805.0389583333333,275.01166666666666,0.12828636169433594,3270,6196
ring,0,2,0.1158893108367919,0,3121,1025,1556,365,3121.0,443.0,0.1246500015258789,7982,3241
ring,0,3,0.7493886947631836,0,30221,2212,20491,639,17790.8,1929.0,0.15054774284362793,9583,85401
