dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
auto6_1,class8,3,2.865155935287476,0,193653,7387,6833,828,243250.37916666668,16818.5,0.27423095703125,22136,620776
auto6_1,class8,5,4.788726329803467,0,362171,7377,6847,884,531521.9786458333,16107.825,0.2769129276275635,21929,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.596357345581055,0,4601,4601,2314,436,4601.0,4601.0,50.43538045883179,10002,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,499.3382978439331,0,124601,64957,32506,750,128201.0,62306.0,82.2901566028595,18902,166751
ozone8,1,2,0.2991447448730469,0,15403,1994,1652,656,33857.52,1681.2,1.1918718814849854,24988,41042
ozone8,1,3,1.654578685760498,0,99693,6701,6543,1450,132553.35666666666,12030.653333333334,0.34565281867980957,26088,3899182
ozone8,1,5,27.36983370780945,0,1752569,73265,72909,4072,1959944.2577499999,221380.184,0.3586914539337158,26852,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0143427848815917,0,9,9,0,0,9.0,9.0,0.016018152236938477,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0131678581237792,0,9,9,0,0,9.0,9.0,0.015290021896362305,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013124942779541,0,9,9,0,0,9.0,9.0,0.015316009521484375,306,11
bach, C#d,2,0.0273785591125488,0,574,191,184,168,511.615,180.85,0.044370174407958984,2151,1226
bach, C#d,3,0.0888850688934326,0,3622,702,701,395,1709.9458333333334,472.68,0.05641341209411621,2926,19650
