dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
wine_quality,4,3,0.3189609050750732,0,13027,9489,5551,478,13480.083333333334,10646.0,0.06267428398132324,3985,16262
wine_quality,4,5,3.5062735080718994,0,167107,43242,81015,950,346589.3302083333,102993.65833333333,0.09108161926269531,5987,1550201
VehicleCouponRecommendation,0,2,0.1299991607666015,0,3756,2568,1798,333,3729.0,2656.0,0.14854741096496582,8283,4187
VehicleCouponRecommendation,0,3,1.3021790981292725,0,54733,17349,26738,612,65262.25,26931.0,0.2187964916229248,12990,125672
VehicleCouponRecommendation,0,5,14.858672857284546,0,656753,130596,303101,1130,2236176.2239583335,462211.11666666664,0.2754373550415039,16366,49302800
auto7_2,class3,2,0.0219631195068359,0,734,725,348,228,732.0,725.0,0.024807453155517578,1523,781
auto7_2,class3,3,0.1638171672821045,0,7842,4661,3865,448,8356.0,6304.0,0.037100791931152344,2865,9920
auto7_2,class3,5,1.0158441066741943,0,52485,8436,27526,575,84189.52708333333,14749.466666666667,0.048995018005371094,3888,667928
wave,0,2,0.1088809967041015,0,3445,2499,1701,457,3445.0,2432.0,0.1039736270904541,7058,3571
wave,0,3,1.350020170211792,0,60305,11661,36905,868,59868.416666666664,14697.5,0.16918063163757324,11574,98855
wave,0,5,10.83914589881897,0,509041,29351,398742,1222,301460.96770833334,24903.408333333333,0.17419743537902832,11961,32900372
cnae9,4,2,16.195685625076294,0,836301,371951,350387,804,734649.8746571585,371466.2948436643,20.201079845428467,1675339,1662577
grammatical_a9,1,2,2.108230829238892,0,101367,5975,78350,633,78869.85004194631,5594.689597315436,2.967275381088257,194298,711029
grammatical_a9,1,3,47.039366483688354,0,2403813,178719,1896665,920,1449550.6954697988,168347.95609619687,4.141061305999756,270778,282279309
teaching,2,2,0.0104801654815673,0,340,48,102,21,395.89406779661016,44.07627118644068,0.021210193634033203,1005,1771
teaching,2,3,0.0131325721740722,0,474,60,134,25,674.9053672316384,62.90112994350282,0.016503095626831055,1169,34280
