dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
grammatical_b4,1,2,1.8167426586151123,0,111288,6372,6010,1295,95583.38788006757,2032.6469594594594,3.377606153488159,242722,701521
grammatical_b4,1,3,22.269279718399048,0,1475297,69852,69130,3391,371216.2908220721,8551.323761261261,3.8561387062072754,254969,276633905
wave2,2,2,0.2618196010589599,0,10025,1811,1375,518,12641.0,1168.5,0.3846874237060547,25602,12881
wave2,2,3,1.859488010406494,0,98113,3114,2768,1006,51213.5,1707.3333333333333,0.3793971538543701,27155,682801
wave2,2,5,5.758863210678101,0,332649,4861,4566,1703,136004.85416666666,3603.4166666666665,0.37902045249938965,27329,847361193
volcanoes-d1,3,2,0.0084412097930908,0,61,57,15,15,61.0,55.0,0.008308649063110352,146,79
volcanoes-d1,3,3,0.0106196403503417,0,125,90,35,35,137.33333333333334,93.83333333333333,0.00728297233581543,223,299
volcanoes-d1,3,5,0.0102863311767578,0,125,90,35,35,142.41666666666666,89.0,0.007246971130371094,223,299
mfeat-fourier,8,2,0.630730390548706,0,34089,2015,1127,484,44349.84868421053,1687.421052631579,1.0566520690917969,89986,46361
mfeat-fourier,8,3,2.431601285934448,0,147101,6932,5123,1260,127135.52302631579,2828.7412280701756,1.1106772422790527,91995,4682665
mfeat-fourier,8,5,8.533589124679565,0,653845,9154,7335,2174,245058.18347039472,5181.7789473684215,1.1238031387329102,91869,21286477101
breast,recurrence-events,2,0.0133345127105712,0,510,272,140,132,526.0243902439024,244.65853658536585,0.019548892974853516,1232,862
breast,recurrence-events,3,0.0367629528045654,0,2143,778,385,262,2629.439024390244,774.5365853658536,0.026315689086914062,1831,11522
breast,recurrence-events,5,0.0856087207794189,0,5908,1522,583,335,7706.597942073171,1421.6158536585365,0.030490636825561523,2129,862190
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,2,2.772669553756714,0,256,252,182,145,263.84,252.52,2.073219060897827,602,326
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,3,4.17635703086853,0,1301,343,274,153,1453.0,858.76,2.597675085067749,1052,2626
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,5,4.7577455043792725,0,1876,424,355,234,5929.12,1855.56,2.885507822036743,1364,68406
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,2,28.35633754730225,0,276,276,0,0,276.0,276.0,22.619773864746094,627,326
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,3,49.61614847183228,0,1526,1526,0,0,1634.3333333333333,1526.0,29.56962490081787,1102,2626
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,5,128.66319799423218,0,7776,4651,0,0,11376.0,4651.0,35.964905738830566,1677,68406
horse_colic_outcome,2,2,0.005465030670166,0,1,0,0,0,1.0,0.0,1.472757339477539,2,2486
horse_colic_outcome,2,3,0.0053949356079101,0,1,0,0,0,1.0,0.0,0.005955934524536133,2,57226
horse_colic_outcome,2,5,0.0053367614746093,0,1,0,0,0,1.0,0.0,0.005856990814208984,2,13077135
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,2,0.0602238178253173,0,3614,1302,672,304,3515.3535353535353,1258.7777777777778,0.08696579933166504,7922,4951
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,3,0.3967235088348388,0,34174,2673,1659,438,29804.107744107743,2781.3367003367002,0.12025165557861328,10585,161800
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,5,0.7010908126831055,0,63647,2686,1668,445,58714.343434343435,2900.3939393939395,0.11990070343017578,10858,75449320
wall4,Slight-Right-Turn,2,0.0074739456176757,0,77,60,33,33,86.0,63.25,0.006707429885864258,194,137
wall4,Slight-Right-Turn,3,0.010223388671875,0,165,121,75,75,190.65625,108.5,0.00783991813659668,296,697
wall4,Slight-Right-Turn,5,0.0105457305908203,0,209,139,90,90,290.9765625,132.71875,0.009204387664794922,344,2517
hayes,2,2,0.0052547454833984,0,88,49,29,29,82.6,49.8,0.004638195037841797,182,121
hayes,2,3,0.0065436363220214,0,192,65,44,44,197.13333333333333,71.8,0.005670785903930664,266,576
hayes,2,5,0.0068504810333251,0,208,65,44,44,203.6625,59.0,0.0053863525390625,255,1941
analcatdata_germangss,4,2,0.0064966678619384,0,144,135,25,25,147.5,139.5,0.005576372146606445,326,172
analcatdata_germangss,4,3,0.0129404067993164,0,560,270,71,71,573.6666666666666,283.6666666666667,0.007954835891723633,542,988
analcatdata_germangss,4,5,0.0153889656066894,0,720,287,77,77,881.2479166666667,291.875,0.008611202239990234,586,12616
thyroid_allhypo,primary hypothyroid.,2,0.0429630279541015,0,1291,699,464,292,1397.7421875,552.640625,0.05025887489318848,2946,2081
thyroid_allhypo,primary hypothyroid.,3,0.2545845508575439,0,10756,3401,2905,800,7749.904947916667,3479.2708333333335,0.06351184844970703,3927,43745
thyroid_allhypo,primary hypothyroid.,5,4.603841543197632,0,210752,47957,47094,2719,164925.7573893229,84672.32552083333,0.09299659729003906,5330,8303633
user,High,2,0.0075020790100097,0,181,148,71,71,173.475,153.0,0.007794857025146484,382,211
user,High,3,0.0143229961395263,0,805,150,71,71,703.6145833333334,141.91666666666666,0.009899616241455078,614,1351
user,High,5,0.0146379470825195,0,805,150,71,71,756.65625,152.525,0.009772300720214844,641,21700
thyroid_dis,discordant.,2,0.0444321632385253,0,1338,831,507,282,1545.984375,724.125,0.04966473579406738,3330,2081
thyroid_dis,discordant.,3,0.2794630527496338,0,11694,4278,3257,762,8122.122395833333,3855.6354166666665,0.06519341468811035,4252,43745
thyroid_dis,discordant.,5,5.672211885452271,0,254640,59101,47171,2022,245578.07760416667,117708.3625,0.08783864974975586,5717,8303633
synthetic_control,4,2,0.1884751319885254,0,11117,2010,1913,1151,16649.883333333335,558.1583333333333,0.433560848236084,35522,28921
