dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
breast_cancer_wis_pro,R,5,9.426490545272827,0,604655,14580,231811,557,759923.7033333334,40439.97666666667,0.2353522777557373,22201,699135746
diggle_table_a2,8,2,0.0100378990173339,0,289,104,76,70,249.58,105.21,0.023822784423828125,1634,529
diggle_table_a2,8,3,0.0204322338104248,0,889,235,266,196,683.56875,210.525,0.03291010856628418,2270,5489
diggle_table_a2,8,5,0.039330244064331,0,2037,512,612,258,1856.5656510416666,494.2054166666667,0.04501700401306152,2957,242825
page,5,2,0.0310409069061279,0,737,475,244,185,738.2225,470.95,0.05575895309448242,3842,821
page,5,3,0.1040475368499755,0,4217,1571,1671,385,4486.7075,1839.785,0.08224773406982422,5627,10701
page,5,5,0.2919516563415527,0,13933,3281,5975,670,21277.744546875,6384.17875,0.0981295108795166,6486,760099
steel-plates-fault,2,2,0.1493754386901855,0,6263,4735,3352,498,5958.34,4571.505,0.13963532447814941,10715,6442
steel-plates-fault,2,3,1.9800565242767332,0,99532,24298,56747,995,155003.09833333333,58650.01833333333,0.24637818336486816,18785,240578
steel-plates-fault,2,5,2.953411817550659,0,146804,37253,82449,1554,4230895.5804791665,771243.5090833333,0.285442590713501,21049,147043850
mechanical,4,2,0.0228123664855957,0,372,270,155,147,346.5625,263.035,0.04569125175476074,2632,466
mechanical,4,3,0.0680861473083496,0,2284,1247,772,318,1892.86375,1184.68,0.06856918334960938,4251,4526
mechanical,4,5,0.2975764274597168,0,13582,4770,3650,510,13773.716921875,5404.57075,0.09634280204772949,5979,174437
OnlineShoppersIntention,True,2,0.129671573638916,0,3467,1664,1429,306,3264.8,1755.0,0.13821840286254883,7992,4096
OnlineShoppersIntention,True,3,1.0568645000457764,0,42730,11416,17715,699,40124.23333333333,13892.733333333334,0.19713926315307617,11610,121576
OnlineShoppersIntention,True,5,15.525556325912476,0,700345,89490,318220,985,1076476.9091666667,201909.35333333333,0.2449185848236084,14428,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1327404975891113,0,4601,4601,2264,410,4601.0,4601.0,0.15842175483703613,10002,5051
