dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
mw1,2,5,4.356310844421387,0,74609,62357,70347,840,63830.0625,107641.096875,0.15888571739196777,14148,254565277
polish_bankruptcy_5year,1,2,0.679861307144165,0,32386,868,10137,424,32386.0,1409.7,0.31778550148010254,25555,32641
polish_bankruptcy_5year,1,3,0.7773361206054688,0,36981,2943,14732,611,32386.0,2448.454166666667,0.3290407657623291,26276,2763776
polish_bankruptcy_5year,1,5,2.84334135055542,0,70806,34445,48557,809,38718.502222222225,114426.89416666667,0.3473992347717285,27286,8812312832
grammatical_b8,1,2,0.7790107727050781,0,43366,723,42610,531,43366.0,631.10625,0.4764094352722168,30171,686207
grammatical_b8,1,3,0.8040781021118164,0,44366,1168,43597,593,44122.6,2527.45625,0.6683239936828613,30573,267621512
grammatical_b8,1,5,0.8162338733673096,0,44849,1611,44074,607,43906.93666666667,6012.7571875,0.6786961555480957,31124,18270601185176
heart_va,3,2,0.0585591793060302,0,58,39,25,22,58.0,38.0625,0.019033193588256836,913,92
heart_va,3,3,0.008352518081665,0,91,68,40,34,90.86111111111111,67.10416666666667,0.01880049705505371,1399,378
heart_va,3,5,0.0082192420959472,0,100,77,43,37,98.61805555555556,74.65104166666667,0.020757436752319336,1551,1093
volcanoes-b5,4,2,0.0135512351989746,0,78,56,20,20,78.0,56.55,0.0201873779296875,1112,79
volcanoes-b5,4,3,0.0141384601593017,0,128,89,37,37,134.46666666666667,87.775,0.029387712478637695,1743,299
volcanoes-b5,4,5,0.0122654438018798,0,128,89,37,37,132.6,84.1,0.029105663299560547,1736,299
wilt,w,2,0.025364875793457,0,210,158,78,78,210.0,155.875,0.029663801193237305,1920,211
