dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
EqualDist_Random-Synthetic__2_10_7463_,1,5,1.5799663066864014,0,31168,8103,17891,307,66984.0,12787.5,0.08771514892578125,5843,2369936
volcanoes-a1,4,2,0.0248303413391113,0,67,41,22,22,67.0,38.5,0.005051374435424805,132,79
volcanoes-a1,4,3,0.0077977180480957,0,89,60,41,41,91.75,55.76388888888889,0.005135059356689453,179,299
volcanoes-a1,4,5,0.0075106620788574,0,89,60,41,41,89.61111111111111,57.59722222222222,0.005116701126098633,180,299
vert3,NO,2,0.0096886157989501,0,277,166,128,115,277.0,225.20833333333334,0.008684635162353516,552,301
vert3,NO,3,0.0172817707061767,0,723,263,487,157,1072.8958333333333,561.1041666666666,0.011882543563842773,909,2325
vert3,NO,5,0.0188443660736084,0,773,286,537,170,1411.7065972222222,516.5416666666666,0.01311802864074707,990,55455
CongressionalVotingRecords_UCI_,republican,2,0.0236380100250244,0,1176,170,501,211,1176.0,199.0,0.02698516845703125,2304,1177
CongressionalVotingRecords_UCI_,republican,3,0.0313022136688232,0,1661,333,986,338,1708.2857142857142,433.5,0.03181934356689453,2605,18473
CongressionalVotingRecords_UCI_,republican,5,0.0357217788696289,0,1874,418,1199,393,1696.0,852.45,0.03319549560546875,2694,1925357
pitt2_2,WOOD,2,0.0074667930603027,0,159,94,68,27,159.0,91.28260869565217,0.006375551223754883,391,277
pitt2_2,WOOD,3,0.0100038051605224,0,325,258,213,40,346.7391304347826,255.9855072463768,0.007946968078613281,560,2048
pitt2_2,WOOD,5,0.0166029930114746,0,645,578,527,41,700.5608695652174,536.1775362318841,0.010278463363647461,756,44552
statlog_vehicle,opel,2,0.047469139099121,0,2628,364,1044,302,2628.0,430.5,0.05949234962463379,5184,2629
statlog_vehicle,opel,3,0.0637998580932617,0,3547,683,1912,403,3786.0,884.1666666666666,0.06812834739685059,5794,62269
statlog_vehicle,opel,5,0.0914630889892578,0,4721,1798,3086,447,4936.9384615384615,2760.8333333333335,0.0760035514831543,6180,15082603
pitt2_1,DECK,2,0.0073075294494628,0,159,113,76,39,159.0,123.06521739130434,0.007027149200439453,391,277
pitt2_1,DECK,3,0.0114500522613525,0,429,364,273,58,477.07246376811594,358.231884057971,0.00887155532836914,632,2048
pitt2_1,DECK,5,0.0251631736755371,0,1002,919,799,60,1123.706884057971,906.7960144927536,0.011490821838378906,867,44552
grammatical_a8,1,2,0.6899635791778564,0,36170,664,34745,741,36170.0,646.0210084033613,4.126733064651489,315350,708646
grammatical_a8,1,3,0.7237799167633057,0,38331,1471,36906,772,38781.49572649573,1710.6974789915967,4.421940565109253,318697,280860826
grammatical_a8,1,5,0.8383965492248535,0,41572,4590,40147,775,42961.595156695155,6242.895238095238,4.433175802230835,320318,19803075833479
grammatical_a6,1,2,0.3117396831512451,0,12521,1380,11742,716,12521.0,1365.2495819397993,2.735067367553711,180596,715807
grammatical_a6,1,3,0.7224636077880859,0,31282,17625,30503,876,29935.30612244898,15809.96934225195,2.990281343460083,197880,285130587
grammatical_a6,1,5,474.2786054611206,0,1307432,1266062,1306653,979,1680084.3361252835,1660661.9639005016,3.4358649253845215,231781,20307799058106
auto6_2,class5,2,0.1938600540161132,0,12090,994,5726,233,12090.0,2554.5,0.2986936569213867,24025,12091
auto6_2,class5,3,0.2892942428588867,0,14301,1071,7823,251,14756.765432098766,1345.3333333333333,0.2989346981048584,26001,620776
auto6_2,class5,5,0.2869236469268799,0,14309,1072,7831,251,13617.850308641975,964.3333333333334,0.31442904472351074,25318,722277712
auto1,class1,2,0.0227234363555908,0,820,786,405,231,820.0,796.5,0.025461196899414062,1600,821
auto1,class1,3,0.1776976585388183,0,9515,5672,4973,373,9940.0,7897.0,0.04216599464416504,3069,10701
auto1,class1,5,1.5500702857971191,0,35850,10557,23851,480,103182.81666666667,49343.55,0.05807948112487793,4566,760099
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,5.801091194152832,0,5050,4600,2297,361,5050.0,4600.0,3.8966286182403564,10000,5051
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,91.35393834114076,0,125050,124600,61808,361,125050.0,124600.0,6.14410400390625,18900,166751
heart_cleverland,3,2,0.0877277851104736,0,862,314,385,218,862.0,319.2142857142857,0.11049723625183105,1722,904
heart_cleverland,3,3,0.0397737026214599,0,1921,440,1358,325,1508.371212121212,496.88095238095235,0.02775120735168457,2203,12384
heart_cleverland,3,5,0.0402164459228515,0,2099,529,1536,374,2086.564393939394,1005.834126984127,0.029944419860839844,2360,974982
analcatdata_boxing1,1,2,0.0090632438659667,0,234,89,64,14,234.0,96.6875,0.0065839290618896484,504,301
analcatdata_boxing1,1,3,0.0093514919281005,0,276,131,106,14,261.7083333333333,97.41666666666667,0.007791757583618164,611,2325
analcatdata_boxing1,1,5,0.0092685222625732,0,276,131,106,14,319.0208333333333,140.0,0.008016586303710938,652,2325
qsar,RB,2,0.1789445877075195,0,6914,699,2761,371,6914.0,705.19921875,0.16996526718139648,14976,8257
qsar,RB,3,0.2550454139709472,0,12267,4230,7665,585,13875.319444444445,6611.87109375,0.19981789588928223,16587,349633
qsar,RB,5,4.483374834060669,0,69516,48058,62844,1077,105249.44861111112,134702.8998046875,0.21892046928405762,18051,275584033
internet,ad.,2,28.395881175994877,0,1378419,1209613,823533,900,1378419.0,1213682.8716216215,63.45351839065552,5156172,4831387
robot4,normal,2,0.0115153789520263,0,259,165,105,104,259.0,183.07142857142858,0.061241865158081055,616,407
robot4,normal,3,0.0205719470977783,0,795,226,497,198,884.952380952381,319.13095238095235,0.015807390213012695,976,3683
robot4,normal,5,0.0216982364654541,0,849,263,551,238,1238.759523809524,452.4797619047619,0.017513751983642578,1083,122438
mw1,2,2,0.1025905609130859,0,6912,577,2669,366,6912.0,554.3571428571429,0.15034914016723633,14742,8002
mw1,2,3,0.1671104431152343,0,10939,3644,6683,551,10444.075471698114,3787.4880952380954,0.1678462028503418,15708,333502
