dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
scene,2,3,23.723531007766724,0,1038145,10647,658140,975,1329111.3881745362,9903.388279932547,15.43593692779541,1245543,278038132
scene,2,5,15.72323751449585,0,707503,9184,401461,1233,1923894.7181000563,14895.098931984261,15.524237394332886,1245715,19472206229484
first,1,2,0.4946374893188476,0,16587,3191,7199,458,16149.773224043716,3358.1967213114754,0.4891841411590576,32576,16837
first,1,3,2.049572706222534,0,74343,11141,42209,963,110076.26366120219,16617.737704918032,0.5286307334899902,36691,1021568
first,1,5,5.955918550491333,0,227474,42455,139745,2363,1575810.193510929,332841.7247723133,0.5815722942352295,39914,1664856104
ecoli,om,2,0.0083851814270019,0,165,86,66,58,165.9375,85.0625,0.011272907257080078,362,301
ecoli,om,3,0.0158114433288574,0,505,189,220,143,490.9635416666667,193.08333333333334,0.009547233581542969,540,2325
ecoli,om,5,0.0259802341461181,0,1065,242,501,198,1256.6474609375,336.8229166666667,0.012306690216064453,686,55455
grammatical_a7,1,2,2.4196937084198,0,116006,4009,77688,737,89936.59578059072,3247.291983122363,3.1682562828063965,222782,702706
grammatical_a7,1,3,32.0613477230072,0,1588419,99244,1251498,1446,790037.4572433193,66007.13895921237,3.8922243118286133,255913,277335426
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,2,25.53335928916931,0,52655,21535,24356,409,49268.71428571428,21607.428571428572,34.072091817855835,109762,77029
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,3,780.2735052108765,0,2553388,367863,1100851,450,2208573.714285714,325901.59523809527,48.998318672180176,168207,10039709
parkinson_speech,0,2,0.116157054901123,0,5210,688,2974,226,5264.828571428571,900.0428571428571,0.3317286968231201,10817,5566
parkinson_speech,0,3,0.3925323486328125,0,19470,809,13985,343,37543.96587301587,5949.495238095238,0.1723024845123291,13031,193026
parkinson_speech,0,5,0.6967003345489502,0,33611,963,25791,391,458175.3311309524,103383.645,0.18525123596191406,14185,101533902
grammatical_b9,1,2,3.20389986038208,0,157460,3146,119773,434,126062.85678180287,2607.0235888795282,4.379442453384399,308622,705079
grammatical_b9,1,3,23.422234296798703,0,1200861,15796,976539,544,706332.5871946083,13327.588037068239,4.888858318328857,327529,278742024
grammatical_b9,1,5,279.909960269928,0,14394235,133362,11650431,626,10038498.04011338,213098.10067396797,5.157888412475586,339190,19554505869096
climate,0,2,0.0679047107696533,0,3044,977,1436,306,3045.0,1041.5,0.09609627723693848,6243,3161
climate,0,3,0.3556444644927978,0,18272,1231,12410,429,20737.083333333332,2002.3333333333333,0.09832358360290527,7858,82240
climate,0,5,0.657036304473877,0,34412,1225,22226,428,40123.072916666664,2194.3333333333335,0.10096287727355957,8075,24122256
isolet,14,2,34.51171040534973,0,1109270,12832,784820,1047,962802.204099433,7766.423026602703,34.25373649597168,2251728,2630072
isolet,14,3,202.45022106170651,0,6277830,191728,5054167,2040,3388018.7964820466,131349.81683384214,35.44366216659546,2275638,2009376538
auto7_3,class3,2,0.0209581851959228,0,734,663,341,227,732.5,628.0,0.07647418975830078,1523,781
auto7_3,class3,3,0.1408441066741943,0,7077,2570,3348,495,7140.083333333333,3198.0,0.0348057746887207,2679,9920
auto7_3,class3,5,0.5182509422302246,0,28270,3719,15001,596,35379.36666666667,5478.108333333334,0.04027390480041504,3162,667928
volcanoes-d3,3,2,0.0095889568328857,0,61,56,17,17,61.0,58.0,0.00623774528503418,146,79
volcanoes-d3,3,3,0.0110952854156494,0,125,88,35,35,132.25,84.33333333333333,0.00732731819152832,222,299
volcanoes-d3,3,5,0.0118160247802734,0,125,88,35,35,130.16666666666666,82.33333333333333,0.007450580596923828,228,299
Diabetic,0,2,0.0494210720062255,0,1936,1174,944,281,1956.4765625,1072.0,0.052490949630737305,4034,2081
Diabetic,0,3,0.2064886093139648,0,9688,2363,5433,383,16341.55859375,4865.125,0.07452535629272461,5619,43745
Diabetic,0,5,0.9450325965881348,0,45767,5920,32147,555,168014.69689941406,50611.04921875,0.08908915519714355,6453,8303633
ar4,2,2,0.0900278091430664,0,4887,512,1819,241,4795.2972972972975,419.14414414414415,0.10574626922607422,10214,6217
ar4,2,3,0.2593293190002441,0,15134,1678,8145,341,16019.918918918918,2829.7927927927926,0.12302231788635254,11086,228032
ar4,2,5,2.62959623336792,0,154873,12668,96851,472,153244.1480855856,31420.574774774774,0.14169692993164062,12047,134381744
auto5, class3,2,2.135676383972168,0,112112,10653,52433,616,112072.0652631579,8711.124210526315,2.357065439224243,225152,113051
auto5, class3,3,22.745909214019772,0,1247141,12202,852467,827,1109378.127368421,13283.145263157894,2.6080684661865234,240620,17862376
auto5, class3,5,35.2862114906311,0,1919622,12391,1389675,872,2500569.6886578947,28592.530315789474,2.607009172439575,237975,199406679696
Chess_King-Rookvs.King-Pawn__UCI_,nowin,2,0.0773425102233886,0,2618,1499,1382,394,2582.099315068493,1393.2808219178082,0.0843958854675293,5185,2702
Chess_King-Rookvs.King-Pawn__UCI_,nowin,3,0.5583024024963379,0,23078,9786,12605,672,30117.009703196345,17835.454337899544,0.11429977416992188,7811,64898
Chess_King-Rookvs.King-Pawn__UCI_,nowin,5,9.91121244430542,0,410404,115780,239923,1157,1106534.5447274544,601876.8506849315,0.14242815971374512,9709,16173662
bankruptcy,1,2,0.006845474243164,0,161,19,89,11,162.975,19.0,0.006813764572143555,362,211
bankruptcy,1,3,0.0072143077850341,0,161,19,89,11,160.95,19.0,0.005840301513671875,362,1351
bankruptcy,1,5,0.0071625709533691,0,161,19,89,11,163.2,19.0,0.005850553512573242,362,21700
onehund_sha,Acer Capillipes,2,0.381645917892456,0,17445,496,6485,347,15572.2353515625,483.978515625,0.4532201290130615,35074,32897
onehund_sha,Acer Capillipes,3,0.6743602752685547,0,33297,731,14427,529,33340.247884114586,2014.3470052083333,0.4895665645599365,36108,2796417
onehund_sha,Acer Capillipes,5,1.0727131366729736,0,54937,1326,25377,728,205306.40791422527,17291.666536458335,0.4974997043609619,36735,8987138113
pc3,2,2,0.1758797168731689,0,7841,1106,3304,375,7834.5,793.0,0.19705939292907715,15878,8002
pc3,2,3,0.7682416439056396,0,37633,3968,18148,591,34046.833333333336,5074.5,0.21568608283996582,17309,333502
pc3,2,5,5.060310125350952,0,273848,34705,118769,1484,890649.4520833333,244999.25833333333,0.23850774765014648,18863,254565277
Marketing_EoSL_,9,2,0.0772485733032226,0,2570,646,764,253,2484.32,598.3466666666667,0.07968592643737793,5327,2851
Marketing_EoSL_,9,3,0.1993465423583984,0,8084,1120,3131,473,12516.62,2926.2,0.09625887870788574,6345,70376
Marketing_EoSL_,9,5,0.3482370376586914,0,15154,1619,7560,739,134638.19235416668,42109.451222222226,0.10082483291625977,6605,18545216
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,2,0.0414342880249023,0,256,252,182,148,262.4,251.08,0.03271341323852539,602,326
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,3,0.0780487060546875,0,1311,671,990,276,1450.72,684.52,0.04264974594116211,1053,2626
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,5,0.1389122009277343,0,3391,1244,2972,415,3845.242,1177.0,0.04790449142456055,1238,68406
wpbc,R,2,0.1566486358642578,0,8452,1531,3905,342,8452.0,1487.0,0.1801295280456543,17163,8647
wpbc,R,3,0.8301105499267578,0,46353,1686,27074,412,48769.666666666664,2389.5,0.21043729782104492,19390,374792
