dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
analcatdata_dmft,1,5,0.0161323547363281,0,586,416,266,109,608.846875,410.54125,0.03724193572998047,3417,7547
pc2,2,2,0.128187894821167,0,3932,448,1365,388,3932.0,447.04,0.12618660926818848,8804,5461
pc2,2,3,0.2102656364440918,0,6699,2414,4097,599,6872.666666666667,3634.9866666666667,0.14841651916503906,9710,187565
pc2,2,5,3.4858829975128174,0,49100,44815,46462,997,35615.52,52151.0,0.15915513038635254,10650,96748211
scene,2,2,10.261924505233765,0,546676,3421,343267,673,546676.0,6285.675,1.3874430656433105,105586,703892
scene,2,3,10.669162511825562,0,552503,4740,349094,872,555467.0625,14875.575,1.6526539325714111,106324,278038132
scene,2,5,10.617347717285156,0,554060,5407,350651,1119,551545.4822916667,40299.38,1.6474549770355225,107621,19472206229484
first,1,2,0.451077938079834,0,15936,2293,7199,458,15936.0,2843.55,0.30267858505249023,17883,16837
first,1,3,1.073109149932861,0,33186,4280,22745,808,32481.1,20249.576666666668,0.3096184730529785,20637,1021568
first,1,5,1.5577147006988523,0,42548,7386,31493,1135,144588.35541666666,257446.473,0.3371396064758301,22337,1664856104
ecoli,om,2,0.0078070163726806,0,129,93,66,58,129.0,92.25,0.02225494384765625,1424,301
ecoli,om,3,0.0110671520233154,0,331,172,238,142,360.40625,161.2,0.02896904945373535,2363,2325
ecoli,om,5,0.0132601261138916,0,440,251,347,187,435.85,235.0875,0.033033132553100586,2652,55455
grammatical_a7,1,2,0.4152843952178955,0,18763,3019,18024,737,18763.0,3572.0,0.36530184745788574,19885,702706
grammatical_a7,1,3,1.8612217903137207,0,85707,62924,84968,1006,86862.08333333333,70729.67333333334,0.6134440898895264,22953,277335426
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,2,40.98474407196045,0,51432,23120,24768,409,51432.0,23187.2,14.006117105484009,32292,77029
parkinson_speech,0,2,0.2145271301269531,0,5358,633,2974,226,5358.0,683.92,0.30372047424316406,10305,5566
parkinson_speech,0,3,0.1343750953674316,0,6738,843,4136,300,7785.366666666667,1492.6416666666667,0.17340445518493652,11590,193026
parkinson_speech,0,5,0.1329081058502197,0,6929,1004,4319,319,8144.858125,1595.6674166666667,0.15042662620544434,11741,101533902
grammatical_b9,1,2,1.139939546585083,0,34857,2434,34185,434,34857.0,3168.1,0.4367177486419678,27087,705079
grammatical_b9,1,3,1.1530272960662842,0,52254,10101,51578,484,51404.916666666664,15744.300000000001,0.689049243927002,28888,278742024
grammatical_b9,1,5,11.50380039215088,0,107038,62206,106361,493,87580.23333333334,120441.83666666667,0.7222349643707275,29759,19554505869096
climate,0,2,0.0557210445404052,0,3160,427,1436,306,3160.0,482.295,0.11090087890625,7879,3161
climate,0,3,0.0719406604766845,0,3942,495,2216,341,4134.827083333334,541.0183333333333,0.10599207878112793,8763,82240
climate,0,5,0.0726146697998046,0,3946,497,2220,341,3754.8864583333334,397.6333333333333,0.10372400283813477,8576,24122256
isolet,14,2,14.763278007507324,0,483964,6603,473985,1047,483964.0,15348.66,1.9585137367248535,100393,2630072
isolet,14,3,20.86164426803589,0,626522,86353,609298,1383,514692.4166666667,135581.46666666667,2.8243825435638428,101869,2009376538
auto7_3,class3,2,0.0193243026733398,0,780,610,341,227,780.0,611.325,0.09799742698669434,3839,781
auto7_3,class3,3,0.0947768688201904,0,5595,1373,2964,360,6114.875,1569.555,0.07268905639648438,6565,9920
auto7_3,class3,5,0.1265325546264648,0,6341,1753,3648,385,9998.8078125,3479.80425,0.0845184326171875,7454,667928
volcanoes-d3,3,2,0.0104806423187255,0,78,55,17,17,78.0,55.44,0.01891803741455078,1112,79
volcanoes-d3,3,3,0.0117900371551513,0,125,87,35,35,133.8,92.12,0.027576684951782227,1741,299
volcanoes-d3,3,5,0.0118520259857177,0,125,87,35,35,133.175,88.66,0.02715468406677246,1736,299
Diabetic,0,2,0.0456831455230712,0,2080,760,974,281,2080.0,760.64,0.07787966728210449,6364,2081
Diabetic,0,3,0.122920274734497,0,6067,1818,4341,381,6325.733333333334,2330.346666666667,0.10536551475524902,8407,43745
Diabetic,0,5,0.2486758232116699,0,9439,4614,7288,451,10081.44,6124.896,0.11452460289001465,9083,8303633
ar4,2,2,0.0660643577575683,0,4671,343,1887,241,4671.0,342.24,0.09700655937194824,9611,6217
ar4,2,3,0.0879015922546386,0,6229,1321,3445,359,5363.4,1498.4,0.10538887977600098,10010,228032
ar4,2,5,0.4851548671722412,0,16446,11523,13662,424,16112.04,23435.536,0.11550378799438477,10632,134381744
auto5, class3,2,1.8014583587646484,0,113050,4460,52591,616,113050.0,7450.375,0.5408520698547363,47875,113051
auto5, class3,3,2.5594518184661865,0,138419,5508,77191,666,207278.125,12488.541666666666,0.5972743034362793,51231,17862376
auto5, class3,5,2.594781875610352,0,138629,5536,77401,668,221364.94270833334,16541.479166666668,0.6356241703033447,52323,199406679696
Chess_King-Rookvs.King-Pawn__UCI_,nowin,2,0.0691728591918945,0,2629,1173,1390,394,2629.0,1095.12,0.10698747634887695,7173,2702
Chess_King-Rookvs.King-Pawn__UCI_,nowin,3,0.438887357711792,0,17110,8141,9607,635,21536.65,10810.2,0.14632105827331543,10564,64898
Chess_King-Rookvs.King-Pawn__UCI_,nowin,5,12.087820768356323,0,128480,80274,77511,982,198757.27,254522.07,0.1693274974822998,12558,16173662
bankruptcy,1,2,0.0075194835662841,0,173,113,89,11,173.0,109.89,0.018870830535888672,1720,211
bankruptcy,1,3,0.0108733177185058,0,396,268,240,11,434.825,265.5,0.026418685913085938,2666,1351
bankruptcy,1,5,0.0139939785003662,0,517,385,356,11,614.54375,406.092,0.03223013877868652,3223,21700
onehund_sha,Acer Capillipes,2,0.174910306930542,0,9572,418,6485,347,9572.0,377.435,0.18403077125549316,13856,32897
onehund_sha,Acer Capillipes,3,0.2015728950500488,0,10927,563,7840,524,10349.475,1068.8283333333334,0.2134549617767334,14280,2796417
onehund_sha,Acer Capillipes,5,0.2076685428619384,0,11439,1075,8352,735,9691.304166666667,2792.882,0.2076413631439209,14199,8987138113
pc3,2,2,0.146829605102539,0,8001,593,3304,375,8001.0,532.98,0.1788339614868164,12626,8002
pc3,2,3,0.2014808654785156,0,11052,1875,6299,474,10822.35,2961.84,0.1678788661956787,13398,333502
pc3,2,5,0.4510142803192138,0,17270,6683,12507,516,14417.83875,21117.8625,0.17427277565002441,13834,254565277
Marketing_EoSL_,9,2,0.0767419338226318,0,2631,318,768,253,2631.0,293.04,0.09973669052124023,7175,2851
Marketing_EoSL_,9,3,0.107414960861206,0,3622,519,1622,394,3068.1,605.76,0.1082150936126709,7669,70376
Marketing_EoSL_,9,5,0.1173775196075439,0,3991,715,1991,454,3623.25,1230.594,0.11347508430480957,7967,18545216
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,2,0.044191837310791,0,301,251,182,148,301.0,249.72,0.0670020580291748,2325,326
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,3,0.0935797691345214,0,1356,436,990,198,1374.1,380.0,0.10929441452026367,4116,2626
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,5,0.0974419116973877,0,1356,436,990,198,1380.05,406.68,0.10821723937988281,4231,68406
wpbc,R,2,0.1180396080017089,0,8646,1005,3905,342,8646.0,1039.485,0.13913869857788086,13131,8647
wpbc,R,3,0.2052536010742187,0,11658,1418,6798,406,12594.83125,1811.73,0.15510320663452148,14321,374792
wpbc,R,5,0.2232019901275634,0,12385,1911,7524,461,13734.503958333333,2431.3818333333334,0.17811203002929688,14578,309694088
volcanoes-a3,4,2,0.0162491798400878,0,67,41,25,25,67.0,41.415,0.014884471893310547,1012,79
volcanoes-a3,4,3,0.0067286491394042,0,89,60,44,44,90.60416666666667,57.2,0.019598960876464844,1432,299
volcanoes-a3,4,5,0.0067801475524902,0,89,60,44,44,90.44375,57.035000000000004,0.019411802291870117,1420,299
winsconsin,4,2,0.0104267597198486,0,253,134,158,131,253.0,131.67,0.02826666831970215,2122,254
winsconsin,4,3,0.0172767639160156,0,641,191,533,239,748.9166666666666,216.37,0.04371953010559082,3118,1794
winsconsin,4,5,0.0177700519561767,0,677,205,569,255,654.6145833333334,192.73833333333334,0.04197096824645996,3037,35443
optical,5,2,0.4568400382995605,0,14373,1005,5982,484,14373.0,1219.335,0.24140453338623047,16977,15754
optical,5,3,0.775986909866333,0,23655,5488,14426,770,21215.3875,7060.538333333333,0.27462220191955566,17959,924354
optical,5,5,11.541383028030396,0,129567,93602,112821,1194,110753.2775,374937.61175,0.28981924057006836,19317,1407982314
NormalDist_Random-Synthetic__2_12_5886_,0,2,0.050896406173706,0,1485,1045,701,271,1485.0,1040.04,0.08269286155700684,5354,1486
NormalDist_Random-Synthetic__2_12_5886_,0,3,0.3384387493133545,0,12668,6440,6367,357,14456.7,6667.11,0.12698602676391602,8966,26290
NormalDist_Random-Synthetic__2_12_5886_,0,5,3.973298311233521,0,55498,18171,30427,359,61144.11,26520.138,0.15169739723205566,10834,3505051
horse_colic_lesion,1,2,0.0388696193695068,0,2485,1187,0,0,2485.0,1256.15,0.058852434158325195,6970,2486
horse_colic_lesion,1,3,0.2187526226043701,0,11596,9807,0,0,12597.375,9846.783333333333,0.08308553695678711,10031,57226
horse_colic_lesion,1,5,42.367515325546265,0,211729,209938,0,0,157607.77083333334,176200.57,0.11617732048034668,13686,13077135
contraceptive,3,2,0.0154788494110107,0,465,329,195,158,465.0,332.25,0.05699586868286133,2930,466
contraceptive,3,3,0.0463848114013671,0,2163,886,1147,290,2430.3125,909.15,0.061418771743774414,4798,4526
contraceptive,3,5,0.0746443271636962,0,3133,1494,1902,338,3622.140625,2599.135,0.06824851036071777,5443,174437
heart_switzerland,1,2,0.0124852657318115,0,440,296,179,52,440.0,295.945,0.029893875122070312,2834,596
heart_switzerland,1,3,0.0311396121978759,0,1725,678,1031,119,1965.94375,1418.1966666666667,0.04578828811645508,4567,6580
heart_switzerland,1,5,0.048635721206665,0,2598,1147,1884,195,7718.441145833333,7276.119333333333,0.06763815879821777,6353,331212
saheart,1,2,0.0158500671386718,0,595,396,291,194,595.0,410.89,0.0402681827545166,3334,596
saheart,1,3,0.048619270324707,0,2727,524,1813,244,3238.9958333333334,576.9233333333333,0.061838388442993164,5437,6580
saheart,1,5,0.04945969581604,0,2762,532,1848,247,3184.259375,538.73,0.06114912033081055,5387,331212
analcatdata_boxing2,2,2,0.0093514919281005,0,301,115,89,16,301.0,115.2,0.02157425880432129,2325,326
