dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
glass,3,2,0.0114972591400146,0,414,221,145,137,394.6775,214.84,0.03421950340270996,2633,497
glass,3,3,0.0264351367950439,0,1494,426,355,279,1235.075,321.04,0.04349780082702637,3394,4992
glass,3,5,0.0365004539489746,0,2141,581,511,346,2566.86265625,508.93075,0.05006146430969238,3702,206368
molecular_promoter,+,2,0.1600992679595947,0,13009,1135,911,466,25612.7075,1151.89,0.22762370109558105,22830,26107
molecular_promoter,+,3,0.6352977752685547,0,62593,954,876,524,73438.01333333334,2006.9233333333334,0.24876141548156738,23498,1975583
molecular_promoter,+,5,0.9785149097442628,0,97273,863,820,524,101970.64591666666,1863.5728333333334,0.2502939701080322,23527,5024313128
blood,1,2,0.0061872005462646,0,113,98,46,46,113.0,98.92,0.021319866180419922,1518,137
blood,1,3,0.0096383094787597,0,321,179,84,84,356.84000000000003,190.65333333333334,0.030943870544433594,2431,697
blood,1,5,0.0107161998748779,0,385,204,96,96,497.87,212.24,0.03476691246032715,2654,2517
weight,B,2,0.1761293411254882,0,15074,657,621,374,98400.275,1107.3,0.36740612983703613,37489,172579
weight,B,3,0.4211263656616211,0,40235,634,622,421,207375.9125,2460.883333333333,0.44100165367126465,37834,33710824
weight,B,5,1.2165040969848633,0,122184,585,539,436,405839.19885416667,2935.0383333333334,0.4551525115966797,38029,575871962176
ozone1,1,2,0.1862275600433349,0,9211,1456,1333,559,35195.8,1492.2,0.35178589820861816,25788,41042
ozone1,1,3,1.3433218002319336,0,79889,5032,5006,1291,114684.22666666667,8525.8,0.35146236419677734,26610,3899182
ozone1,1,5,21.879481315612797,0,1410091,62603,62598,4356,1577978.4866666668,145422.12,0.37114787101745605,27343,15671998629
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.294191837310791,0,276,276,0,0,276.0,276.0,0.354752779006958,2427,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4608736038208008,0,1526,1526,0,0,1642.6666666666665,1526.0,0.5064864158630371,4327,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,0.9963750839233398,0,7776,4651,0,0,11867.145833333332,4651.0,0.6951780319213867,6627,68406
ionosphere,b,2,0.0861248970031738,0,5083,757,548,345,8068.84,726.76,0.16286063194274902,12830,8257
ionosphere,b,3,0.2439527511596679,0,16990,1365,957,618,20921.0,1518.44,0.15476226806640625,13366,349633
