dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
NormalDist_Random-Synthetic__2_6_5132_,1,3,0.0232250690460205,0,524,524,278,207,597.5,560.0,0.011806249618530273,506,834
NormalDist_Random-Synthetic__2_6_5132_,1,5,0.0596148967742919,0,1980,1754,1074,341,3045.547916666667,1832.3666666666666,0.01584339141845703,770,9402
ilpd,2,2,0.0203268527984619,0,687,619,348,222,688.0,623.0,0.02078557014465332,1446,742
ilpd,2,3,0.1233718395233154,0,5891,2447,3091,396,6158.333333333333,2385.3333333333335,0.032421112060546875,2502,9178
ilpd,2,5,0.5177860260009766,0,26243,4214,14639,410,29896.376041666666,5589.091666666667,0.038855791091918945,2895,584935
EqualDist_Random-Synthetic__2_7_7307_,0,2,0.0217220783233642,0,325,325,168,148,324.5,324.5,0.017182111740112305,731,379
EqualDist_Random-Synthetic__2_7_7307_,0,3,0.0661940574645996,0,2050,2050,1055,364,2137.1666666666665,2040.1666666666667,0.02582550048828125,1297,3304
EqualDist_Random-Synthetic__2_7_7307_,0,5,0.4534265995025635,0,18570,13366,9808,585,22586.654166666667,13431.675,0.036741018295288086,2052,101584
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,2,0.916929006576538,0,276,276,132,126,276.0,276.0,0.6902744770050049,627,326
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,3,1.4448213577270508,0,1526,1274,743,282,1634.3333333333333,1289.3333333333333,0.8549444675445557,1102,2626
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,5,2.63218092918396,0,5261,2745,2581,373,7952.583333333333,2998.5,0.9675686359405518,1491,68406
satimage,5,2,0.2734754085540771,0,9993,1681,3233,444,9961.390625,1209.2916666666667,0.3333561420440674,20306,10441
satimage,5,3,1.502793550491333,0,63993,15268,33048,1295,44156.86892361111,11567.079861111111,0.3256094455718994,22040,497785
satimage,5,5,34.8449912071228,0,1640197,190638,938956,3141,1063516.6779730902,244697.26319444444,0.3382580280303955,23363,498685189
turkiye,11,2,0.3087496757507324,0,11479,9554,4926,441,11480.0,9609.5,0.34844207763671875,23411,11782
turkiye,11,3,8.606633424758911,0,418279,132025,161119,681,450250.75,174261.5,0.5671374797821045,42025,597058
turkiye,11,5,364.666255235672,0,18817034,3139134,6127200,1149,30209311.21875,5263240.375,0.7118406295776367,52628,676590838
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,2,1.3723249435424805,0,911,903,377,139,953.6734693877551,900.0816326530612,1.1902527809143066,2207,1226
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,3,3.946454763412476,0,9836,938,4494,191,10665.025510204081,3367.887755102041,1.6145007610321045,4027,19650
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,5,4.10453462600708,0,10326,938,4984,191,19676.98341836735,2045.591836734694,1.6680102348327637,4220,2138410
auto2, class2,2,11.975645303726196,0,303676,303676,151921,945,303679.0,303679.0,8.82441782951355,608402,304591
oil_spill,2,2,0.3509607315063476,0,17439,10429,7016,404,17150.85714285714,10692.957671957673,0.4694688320159912,34778,17956
oil_spill,2,3,4.47062873840332,0,237881,31819,131396,727,565057.3439153439,170801.19047619047,0.6322126388549805,54890,1125370
oil_spill,2,5,23.71368384361267,0,1249833,93911,762073,976,22658387.24642857,3700209.7492063493,0.714252233505249,59490,1957925908
DryBeans,HOROZ,2,0.092287540435791,0,1821,592,507,263,1775.546875,413.796875,0.07983732223510742,3714,2081
DryBeans,HOROZ,3,0.1991186141967773,0,6149,1375,2202,611,6759.279947916667,1954.875,0.09233760833740234,4345,43745
DryBeans,HOROZ,5,0.7459275722503662,0,30257,5296,11714,1443,66507.7212890625,18412.948958333334,0.09787821769714355,4752,8303633
spectf_heart,0,2,0.2881736755371094,0,15213,8496,7395,571,15038.535511363636,7576.139204545455,0.3409569263458252,30450,15577
spectf_heart,0,3,7.582050561904907,0,428537,15468,238790,672,369305.10132575757,15583.77840909091,0.48465871810913086,44346,908777
spectf_heart,0,5,15.109622716903688,0,862509,17902,461365,696,648060.5598691998,16285.485085227272,0.5026929378509521,45852,1368442637
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,2,28.160813093185425,0,256,252,182,131,262.88,252.52,23.665127515792847,602,326
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,3,46.848464488983154,0,1311,401,990,127,1449.84,1330.6,30.655264854431152,1053,2626
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,5,54.61453485488892,0,1941,484,1522,228,6196.667,2001.0,35.39952325820923,1423,68406
planning,2,2,0.0268375873565673,0,1105,780,494,219,1105.0,786.5,1.5378754138946533,2306,1177
planning,2,3,0.1966109275817871,0,10845,1047,4491,249,10782.75,1064.1666666666667,0.04523801803588867,3749,18473
planning,2,5,0.2507634162902832,0,13885,1085,5821,251,14060.991666666667,1201.5833333333333,0.04597902297973633,3791,1925357
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,2,0.0049271583557128,0,7,6,4,4,7.625,5.875,0.0023996829986572266,14,11
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,3,0.0048975944519042,0,7,6,4,4,7.25,5.5,0.0023865699768066406,14,11
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,5,0.0049901008605957,0,7,6,4,4,8.0,6.25,0.0024755001068115234,14,11
trains,west,2,0.0077686309814453,0,81,1,32,0,81.0,1.0,0.0052490234375,82,3241
trains,west,3,0.007819652557373,0,81,1,32,0,81.0,1.0,0.00803828239440918,82,85401
trains,west,5,0.0079047679901123,0,81,1,32,0,81.0,1.0,0.008048534393310547,82,25706997
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,2,1.7674248218536377,0,76401,71217,40530,668,76401.0,69993.0,2.3364038467407227,160002,80201
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,3,167.16083884239197,0,8710861,71218,3724393,668,8435518.5,70378.5,3.978623628616333,299557,10667001
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,5,168.35227751731873,0,8710961,71218,3724422,668,8255200.25,69061.5,3.960606813430786,296923,84280006981
appendicitis,1,2,0.0111634731292724,0,345,81,105,34,348.41964285714283,78.14285714285714,0.01394200325012207,758,407
appendicitis,1,3,0.017061710357666,0,669,119,207,64,651.3660714285714,125.23214285714286,0.011652469635009766,844,3683
appendicitis,1,5,0.0195918083190917,0,809,140,259,84,938.5313616071429,165.34642857142856,0.01295161247253418,897,122438
mc2,2,2,0.1802139282226562,0,9678,2560,3916,392,9676.0,2653.5,0.1981520652770996,19602,9871
mc2,2,3,1.390233278274536,0,81028,10154,36181,701,92257.16666666667,16598.166666666668,0.2500786781311035,23763,457451
mc2,2,5,18.68891644477844,0,1146496,180154,535938,1203,1578916.1229166666,391768.1583333333,0.29374027252197266,26026,432752594
breast_cancer_wis_ori,M,2,0.1460702419281005,0,7053,483,2887,338,7018.041666666667,560.7958333333333,0.1688094139099121,14282,7261
breast_cancer_wis_ori,M,3,0.26751708984375,0,13557,494,8122,445,18494.186805555557,2369.926388888889,0.17764639854431152,14964,288101
breast_cancer_wis_ori,M,5,0.4671418666839599,0,23409,715,16061,658,61552.21401909722,3285.780138888889,0.18490147590637207,15240,199080695
urban,shadow ,2,3.0031280517578125,0,149509,6971,64970,680,147045.63647959183,5152.163265306122,3.412360906600952,305174,173167
urban,shadow ,3,11.298739910125732,0,572013,17736,376186,1245,907037.7257653062,71313.1887755102,3.6168766021728516,315727,33883403
urban,shadow ,5,280.006716966629,0,14255017,560431,11390011,1968,44098889.72218059,2661149.793409864,3.743138313293457,322295,580802256770
parkinsons,0,2,0.0746588706970214,0,3737,957,1462,303,3652.721590909091,798.8409090909091,0.09104132652282715,7482,3917
parkinsons,0,3,0.258890151977539,0,14733,1307,6819,375,18562.011363636364,2408.2064393939395,0.10456609725952148,8773,113653
parkinsons,0,5,0.6159861087799072,0,36237,1937,16451,500,77350.51216264204,11106.523674242424,0.10409712791442871,9079,41621295
haberman,2,2,0.0055713653564453,0,52,50,29,28,50.5,48.0,0.003626585006713867,123,67
haberman,2,3,0.0065000057220458,0,100,57,53,29,103.16666666666667,55.833333333333336,0.0041506290435791016,188,232
haberman,2,5,0.0064280033111572,0,100,57,53,29,100.66666666666667,54.333333333333336,0.004080295562744141,190,232
pitt1_3,LONG,2,0.0094461441040039,0,239,68,102,37,226.66666666666666,51.833333333333336,0.00727081298828125,482,301
pitt1_3,LONG,3,0.0124356746673583,0,412,95,182,50,569.9305555555555,129.47222222222223,0.009574651718139648,615,2325
pitt1_3,LONG,5,0.0128836631774902,0,446,97,193,51,626.3628472222222,111.27777777777779,0.009694576263427734,607,55455
NormalDist_Random-Synthetic__2_8_5616_,0,2,0.0337162017822265,0,666,646,315,213,666.5,655.0,0.026697397232055664,1446,742
NormalDist_Random-Synthetic__2_8_5616_,0,3,0.1500375270843505,0,6207,4906,3082,448,6422.083333333333,4799.5,0.0420527458190918,2608,9178
NormalDist_Random-Synthetic__2_8_5616_,0,5,1.291707992553711,0,61025,21158,32747,656,82870.80208333333,22799.141666666666,0.05534482002258301,3604,584935
musk,2,2,5.882268667221069,0,226449,20362,96987,818,240772.15480895917,20033.62977602108,6.655602931976318,511568,288421
musk,2,3,38.28403258323669,0,1637472,43733,1135728,1119,3212122.763065437,252595.89415898113,7.4328086376190186,546135,72874880
musk,2,5,484.93587017059326,0,21825479,494840,15645320,1740,107576117.24946475,4496849.685858586,7.549350738525391,552383,2085336669032
car,good,2,0.0093011856079101,0,139,105,101,101,141.46428571428572,104.21428571428571,0.020910263061523438,317,232
car,good,3,0.0182740688323974,0,508,366,360,205,529.797619047619,373.26190476190476,0.013450860977172852,548,1562
car,good,5,0.0388367176055908,0,1486,671,865,271,1797.1231398809523,638.4702380952381,0.017227888107299805,776,27896
libras,4,2,0.8865947723388672,0,50305,4954,18106,647,50627.666666666664,4683.916666666667,1.1641154289245605,108002,64981
libras,4,3,4.49005126953125,0,254709,17079,150276,1077,296848.53472222225,41293.77777777778,1.2524590492248535,114133,7776301
libras,4,5,170.76612758636475,0,9848985,444111,6471720,1578,13327033.217881944,1728243.6597222222,1.3296146392822266,120268,49698365683
monks2,1,2,0.0080327987670898,0,137,137,91,91,140.0,140.0,0.008368492126464844,291,154
monks2,1,3,0.0183348655700683,0,576,556,321,216,598.8333333333334,552.1666666666666,0.009397268295288086,509,834
monks2,1,5,0.0430035591125488,0,1729,891,996,284,2161.2,875.5416666666666,0.012115955352783203,710,9402
onehund_tex,Acer Capillipes,2,0.259136438369751,0,11771,6674,4890,412,11269.619170984455,6588.689119170985,0.32729482650756836,24899,18722
