dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
scene,2,3,10.576720237731934,0,552503,4740,349094,872,549679.5534591195,5043.050168634064,15.539297580718994,1243777,278038132
scene,2,5,10.787128448486328,0,554060,5407,350651,1119,551464.7767295598,8968.951869027544,15.549416065216064,1246269,19472206229484
first,1,2,0.4564192295074463,0,15936,2293,7199,458,15936.0,2505.617486338798,0.47756052017211914,32574,16837
first,1,3,1.086327314376831,0,33186,4280,22745,808,43869.44171779141,15525.393442622952,0.5178234577178955,37450,1021568
first,1,5,1.5549354553222656,0,42548,7386,31493,1135,70480.62372188139,78356.45109289617,0.5285964012145996,37739,1664856104
ecoli,om,2,0.0095660686492919,0,129,85,66,58,129.0,82.8125,0.010232686996459961,360,301
ecoli,om,3,0.0107309818267822,0,304,152,213,142,365.6666666666667,203.75,0.009736061096191406,585,2325
ecoli,om,5,0.0127437114715576,0,367,204,276,187,519.5104166666666,274.625,0.010767459869384766,672,55455
grammatical_a7,1,2,0.4203419685363769,0,18763,3019,18024,737,18763.0,3012.9181434599154,3.007831335067749,222780,702706
grammatical_a7,1,3,1.8793632984161377,0,85707,62924,84968,1006,87109.57968526466,65634.73980309423,3.750089406967163,257981,277335426
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,2,33.87236976623535,0,39452,21534,19515,409,39452.0,21878.571428571428,33.48654627799988,109760,77029
parkinson_speech,0,2,0.2099740505218505,0,5358,633,2974,226,5358.0,874.0285714285715,0.3098006248474121,10815,5566
parkinson_speech,0,3,0.1462082862854004,0,6738,843,4136,300,8143.645098039216,1300.088888888889,0.15227198600769043,12106,193026
parkinson_speech,0,5,0.1286771297454834,0,6929,1004,4319,319,8276.515098039215,1444.8365873015873,0.15392184257507324,12235,101533902
grammatical_b9,1,2,1.1361124515533447,0,34857,2434,34185,434,34857.0,2444.262847514743,4.203251123428345,308620,705079
grammatical_b9,1,3,1.1822974681854248,0,52254,10101,51578,484,60043.580976863755,10844.723392305532,4.677111625671387,327275,278742024
grammatical_b9,1,5,11.60561227798462,0,107038,62206,106361,493,155657.99057412168,92988.57469811851,4.841999053955078,337605,19554505869096
climate,0,2,0.0548887252807617,0,3160,427,1436,306,3160.0,421.0,0.09171748161315918,6241,3161
climate,0,3,0.0701410770416259,0,3942,481,2216,341,5579.09604519774,773.8333333333334,0.08612799644470215,7273,82240
climate,0,5,0.071073293685913,0,3944,481,2218,341,6203.843220338983,803.1666666666666,0.08937954902648926,7443,24122256
isolet,14,2,15.053245067596436,0,483964,6603,473985,1047,483964.0,7292.624073266463,34.35231900215149,2251726,2630072
isolet,14,3,21.3834924697876,0,626522,86353,609298,1383,644811.3949259422,101907.58889373456,35.68214678764343,2275671,2009376538
auto7_3,class3,2,0.0186240673065185,0,780,609,341,227,780.0,607.0,0.07390236854553223,1521,781
auto7_3,class3,3,0.097236156463623,0,5586,1370,2955,360,5845.333333333333,2183.6666666666665,0.03154444694519043,2593,9920
auto7_3,class3,5,0.1242537498474121,0,6321,1736,3628,385,12114.366666666667,3377.75,0.035516977310180664,2930,667928
volcanoes-d3,3,2,0.0102663040161132,0,78,55,17,17,78.0,55.5,0.006041288375854492,144,79
volcanoes-d3,3,3,0.0114791393280029,0,125,87,35,35,127.83333333333333,84.33333333333333,0.0070650577545166016,217,299
volcanoes-d3,3,5,0.0123195648193359,0,125,87,35,35,127.66666666666667,89.33333333333333,0.0070400238037109375,216,299
Diabetic,0,2,0.0469970703125,0,2017,759,944,281,2017.0,824.90625,0.05167698860168457,4032,2081
Diabetic,0,3,0.1404104232788086,0,6004,1817,4311,381,8095.306818181818,2717.0390625,0.0742037296295166,5710,43745
Diabetic,0,5,0.2513110637664795,0,9376,4613,7258,451,10712.3125,8437.3078125,0.0785834789276123,6006,8303633
ar4,2,2,0.0617659091949462,0,4297,339,1757,241,4297.0,336.0900900900901,0.10096549987792969,10212,6217
ar4,2,3,0.0845687389373779,0,5855,1317,3315,359,5508.1648351648355,1847.5975975975975,0.11178350448608398,10783,228032
ar4,2,5,0.4934499263763428,0,16072,11519,13532,424,22881.05054945055,28281.11081081081,0.12166213989257812,11568,134381744
auto5, class3,2,1.7970020771026611,0,112576,4459,52299,616,112576.0,4743.492631578947,2.2941317558288574,225150,113051
auto5, class3,3,2.578698873519897,0,137945,5506,76899,666,176617.04615384617,5869.949473684211,2.443840980529785,233476,17862376
auto5, class3,5,2.6026668548583984,0,138155,5534,77109,668,142122.43406593407,4964.36,2.4870314598083496,231776,199406679696
Chess_King-Rookvs.King-Pawn__UCI_,nowin,2,0.0685770511627197,0,2558,1172,1355,394,2558.0,1110.7123287671234,0.0799262523651123,5183,2702
Chess_King-Rookvs.King-Pawn__UCI_,nowin,3,0.4460775852203369,0,17039,8140,9572,635,16847.754716981133,7669.296803652968,0.10041546821594238,7176,64898
Chess_King-Rookvs.King-Pawn__UCI_,nowin,5,12.432589530944824,0,128409,80273,77476,982,184605.97421383648,244913.35719178081,0.1246480941772461,9091,16173662
bankruptcy,1,2,0.0074012279510498,0,173,18,89,11,173.0,18.0,0.0065174102783203125,360,211
bankruptcy,1,3,0.007383108139038,0,173,18,89,11,173.0,18.0,0.005514383316040039,360,1351
bankruptcy,1,5,0.0074748992919921,0,173,18,89,11,173.0,18.0,0.005627870559692383,360,21700
onehund_sha,Acer Capillipes,2,0.1715908050537109,0,9572,418,6485,347,9572.0,382.369140625,0.45728325843811035,35072,32897
onehund_sha,Acer Capillipes,3,0.2003874778747558,0,10927,563,7840,524,10660.453389830509,889.162109375,0.466965913772583,36015,2796417
onehund_sha,Acer Capillipes,5,0.2167484760284423,0,11439,1075,8352,735,10909.152895480225,1779.2562825520833,0.465961217880249,36215,8987138113
pc3,2,2,0.14497971534729,0,8001,593,3304,375,8001.0,531.0,0.21230101585388184,15876,8002
pc3,2,3,0.2057759761810302,0,11052,1875,6299,474,11991.594339622641,2537.3333333333335,0.20726513862609863,16978,333502
pc3,2,5,0.4607620239257812,0,17270,6683,12507,516,15979.27641509434,15113.358333333334,0.21102142333984375,17441,254565277
Marketing_EoSL_,9,2,0.0750632286071777,0,2560,317,756,253,2560.0,330.86,0.07728719711303711,5325,2851
Marketing_EoSL_,9,3,0.1065354347229003,0,3551,518,1610,394,3378.651515151515,789.3622222222223,0.08632564544677734,5898,70376
Marketing_EoSL_,9,5,0.1181073188781738,0,3920,714,1979,454,3558.410606060606,1449.9462222222223,0.087005615234375,5994,18545216
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,2,0.0450384616851806,0,301,251,182,148,301.0,251.52,0.030923128128051758,600,326
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,3,0.0950179100036621,0,1356,436,990,198,1368.2,1073.44,0.04146075248718262,1048,2626
I_LVL2_1_Interesting_Non-Random-Synthetic__2_5_31250_,1,5,0.0970900058746337,0,1356,436,990,198,3462.12,1227.36,0.04546689987182617,1344,68406
wpbc,R,2,0.1431350708007812,0,8646,998,3905,342,8646.0,1026.5,0.17361164093017578,17161,8647
wpbc,R,3,0.1759436130523681,0,11594,1397,6734,406,12709.36036036036,1819.0,0.19364118576049805,18691,374792
wpbc,R,5,0.1932969093322754,0,12289,1886,7428,461,13746.71906906907,3882.883333333333,0.21883153915405273,18976,309694088
