dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
grammatical_a1,1,2,2.128730058670044,0,124318,12510,11884,1214,196968.005,12784.6,0.6022927761077881,41294,711029
grammatical_a1,1,3,74.43193650245667,0,4492810,350110,347804,3572,3540753.5875,426072.09,0.9051315784454346,47238,282279309
mfeat-zernike,8,2,0.3900659084320068,0,17449,12202,7273,540,17485.0,13000.26,0.2682955265045166,18890,17767
mfeat-zernike,8,3,9.736493825912476,0,571609,92679,88401,768,603642.21,148725.60666666666,0.37431764602661133,29860,1107603
mfeat-zernike,8,5,136.35923957824707,0,9268477,523327,519165,1313,35524436.941416666,4766248.424333333,0.4706745147705078,36823,1906413390
twonorm,1,2,0.1137537956237793,0,3121,1181,923,380,3121.0,735.4,0.12795782089233398,7982,3241
twonorm,1,3,0.6394877433776855,0,29125,1739,1642,621,16561.733333333334,2202.866666666667,0.17128872871398926,9444,85401
twonorm,1,5,1.183598518371582,0,57905,2566,2470,1332,48519.583333333336,2497.133333333333,0.1620190143585205,10234,25706997
auto7_1,class3,2,0.0236067771911621,0,734,734,382,244,734.2,734.2,0.0537416934967041,3841,781
auto7_1,class3,3,0.1661152839660644,0,8148,6991,3772,501,8388.9575,7176.675,0.0921330451965332,7302,9920
auto7_1,class3,5,1.482440948486328,0,105326,19787,13782,532,159242.251,33923.4275,0.1380014419555664,11064,667928
grammatical_b4,1,2,3.7724931240081783,0,223881,18775,18049,1374,367300.76,17256.04,0.9498012065887451,69886,701521
grammatical_b4,1,3,83.28914642333984,0,5068071,371570,368746,3109,6079455.446666666,723445.6133333333,1.2430806159973145,75493,276633905
wave2,2,2,0.303591251373291,0,11441,3823,2952,526,12641.0,3144.2,0.25899362564086914,16062,12881
wave2,2,3,3.64313530921936,0,193001,10662,9707,1030,261245.93333333335,34314.86666666667,0.33187055587768555,22530,682801
wave2,2,5,19.35770320892334,0,1131109,18615,17926,1690,5778287.041666667,435163.86666666664,0.3341391086578369,23122,847361193
volcanoes-d1,3,2,0.0094022750854492,0,61,57,15,15,61.0,56.44,0.021480321884155273,1114,79
volcanoes-d1,3,3,0.0118575096130371,0,125,90,35,35,139.07,94.36,0.028998374938964844,1755,299
volcanoes-d1,3,5,0.01116943359375,0,125,90,35,35,135.96,90.54,0.02860116958618164,1753,299
mfeat-fourier,8,2,0.933758020401001,0,44405,26303,19824,488,45905.0,36000.68,0.37341856956481934,30606,46361
mfeat-fourier,8,3,17.871503353118896,0,1091697,115397,64333,1116,3805661.986666667,1084306.1733333333,0.7031083106994629,56262,4682665
mfeat-fourier,8,5,158.8051414489746,0,13340761,293518,224334,1903,273850176.08683336,8045334.932,0.7836196422576904,60733,21286477101
breast,recurrence-events,2,0.0143828392028808,0,510,275,140,131,531.225,282.25,0.038170814514160156,2943,862
breast,recurrence-events,3,0.0399811267852783,0,2298,896,398,267,2844.875,1022.05,0.053999900817871094,4544,11522
breast,recurrence-events,5,0.0961012840270996,0,6714,1916,634,324,10494.5540625,2559.5675,0.062441110610961914,5268,862190
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,2,2.7992560863494877,0,256,252,182,145,261.92,252.4,3.4619224071502686,2327,326
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,3,4.144973516464233,0,1301,343,274,119,1438.1,699.32,5.0813562870025635,4115,2626
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,5,4.760392189025879,0,1876,424,355,200,3947.992,1124.88,5.694415330886841,4845,68406
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,2,28.1977219581604,0,276,276,0,0,276.0,276.0,43.42124080657959,2427,326
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,3,49.5947790145874,0,1526,1526,0,0,1646.8333333333333,1526.0,66.62013292312622,4327,2626
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,5,128.86960530281067,0,7776,4651,0,0,12055.166666666666,4651.0,93.36814212799072,6627,68406
horse_colic_outcome,2,2,0.0059924125671386,0,1,0,0,0,1.0,0.0,1.4760141372680664,2,2486
horse_colic_outcome,2,3,0.0059418678283691,0,1,0,0,0,1.0,0.0,0.005725383758544922,2,57226
horse_colic_outcome,2,5,0.006061315536499,0,1,0,0,0,1.0,0.0,0.005602359771728516,2,13077135
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,2,0.0602951049804687,0,3644,1431,703,314,3523.6,1565.8,0.08919000625610352,8001,4951
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,3,0.4636168479919433,0,38677,4258,2142,422,33969.36666666667,3513.8,0.13669943809509277,11142,161800
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,5,0.9489076137542723,0,87671,4272,2154,423,89424.15666666666,5072.0,0.12931108474731445,11765,75449320
wall4,Slight-Right-Turn,2,0.0083200931549072,0,77,60,33,33,82.34,59.98,0.01965785026550293,1118,137
wall4,Slight-Right-Turn,3,0.0105555057525634,0,165,121,75,75,207.61,121.5,0.02969074249267578,1799,697
wall4,Slight-Right-Turn,5,0.0114538669586181,0,209,139,90,90,312.323125,144.525,0.03466486930847168,2089,2517
hayes,2,2,0.0058133602142333,0,88,49,29,29,83.5,48.4,0.015197277069091797,1117,121
hayes,2,3,0.0072236061096191,0,192,65,44,44,190.53,67.18,0.021933555603027344,1630,576
hayes,2,5,0.0074515342712402,0,208,65,44,44,218.044375,66.3,0.022834300994873047,1675,1941
