dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0042035579681396,0,10,8,0,0,10.0,8.0,0.0022826194763183594,13,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0041644573211669,0,10,8,0,0,10.0,8.0,0.0018341541290283203,13,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0041985511779785,0,10,8,0,0,10.0,8.0,0.0017321109771728516,13,11
auto6_3,class1,2,0.1718771457672119,0,12090,1017,5586,480,12090.0,1505.625,0.25653815269470215,24025,12091
auto6_3,class1,3,0.2571208477020263,0,14704,1352,8169,527,20469.190705128203,2480.0,0.30267858505249023,27545,620776
auto6_3,class1,5,0.2623476982116699,0,14776,1400,8241,527,22613.60576923077,2726.2708333333335,0.3077118396759033,27771,722277712
grammatical_b1,1,2,1.5399925708770752,0,85865,1640,80897,738,85865.0,1557.9958289885296,6.208324909210205,493577,719401
grammatical_b1,1,3,1.6926896572113037,0,94498,6421,89530,807,95897.49982250622,7093.216545012166,6.6736273765563965,500715,287281600
grammatical_b1,1,5,7.3257386684417725,0,144285,53148,139317,819,163578.21114660986,69924.44452554744,6.690079212188721,506955,20563990681840
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0484759807586669,0,1275,1162,567,262,1275.0,1148.125,0.054196834564208984,2500,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.4182417392730713,0,15749,7333,8065,305,15707.916666666666,10938.958333333334,0.07528495788574219,4678,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,1.5799663066864014,0,31168,8103,17891,307,61102.708333333336,10397.708333333334,0.09442758560180664,6087,2369936
volcanoes-a1,4,2,0.0248303413391113,0,67,41,22,22,67.0,36.05555555555556,0.0050852298736572266,122,79
volcanoes-a1,4,3,0.0077977180480957,0,89,60,41,41,100.4074074074074,71.29629629629629,0.005218505859375,176,299
volcanoes-a1,4,5,0.0075106620788574,0,89,60,41,41,94.9074074074074,57.03703703703704,0.005135059356689453,171,299
vert3,NO,2,0.0096886157989501,0,277,166,128,115,277.0,223.3421052631579,0.008765220642089844,530,301
vert3,NO,3,0.0172817707061767,0,723,263,487,157,1124.7719298245615,684.9561403508771,0.012441873550415039,890,2325
vert3,NO,5,0.0188443660736084,0,773,286,537,170,2292.77850877193,1452.7728070175438,0.014633417129516602,1069,55455
CongressionalVotingRecords_UCI_,republican,2,0.0236380100250244,0,1176,170,501,211,1176.0,307.57894736842104,0.027940034866333008,2257,1177
CongressionalVotingRecords_UCI_,republican,3,0.0313022136688232,0,1661,333,986,338,1563.3684210526317,460.42105263157896,0.03204751014709473,2584,18473
CongressionalVotingRecords_UCI_,republican,5,0.0357217788696289,0,1874,418,1199,393,2632.1263157894737,1145.0947368421052,0.03660917282104492,2859,1925357
pitt2_2,WOOD,2,0.0074667930603027,0,159,94,68,27,159.0,87.36111111111111,0.006520509719848633,375,277
pitt2_2,WOOD,3,0.0100038051605224,0,325,258,213,40,319.8703703703704,212.02777777777777,0.008093595504760742,535,2048
pitt2_2,WOOD,5,0.0166029930114746,0,645,578,527,41,730.7666666666667,560.6458333333334,0.010275602340698242,718,44552
statlog_vehicle,opel,2,0.047469139099121,0,2628,364,1044,302,2628.0,904.421052631579,0.0793311595916748,5113,2629
statlog_vehicle,opel,3,0.0637998580932617,0,3547,683,1912,403,3264.0,985.6842105263158,0.07202768325805664,5900,62269
statlog_vehicle,opel,5,0.0914630889892578,0,4721,1798,3086,447,6914.172972972973,4205.063157894737,0.08723735809326172,7082,15082603
pitt2_1,DECK,2,0.0073075294494628,0,159,113,76,39,159.0,107.66666666666667,0.007184505462646484,375,277
pitt2_1,DECK,3,0.0114500522613525,0,429,364,273,58,470.35185185185185,374.31481481481484,0.009059429168701172,601,2048
pitt2_1,DECK,5,0.0251631736755371,0,1002,919,799,60,1421.3601851851852,1122.1731481481481,0.01205301284790039,861,44552
grammatical_a8,1,2,0.6899635791778564,0,36170,664,34745,741,36170.0,566.4653361344538,4.165425777435303,315350,708646
grammatical_a8,1,3,0.7237799167633057,0,38331,1471,36906,772,37763.127682403436,1676.013655462185,4.501194953918457,318396,280860826
grammatical_a8,1,5,0.8383965492248535,0,41572,4590,40147,775,42050.0381795422,6091.852197128852,4.551572799682617,321203,19803075833479
grammatical_a6,1,2,0.3117396831512451,0,12521,1380,11742,716,12521.0,1395.7233263598325,2.7902932167053223,180446,715807
grammatical_a6,1,3,0.7224636077880859,0,31282,17625,30503,876,29335.12962962963,18037.97140864714,3.0978410243988037,198261,285130587
grammatical_a6,1,5,474.2786054611206,0,1307432,1266062,1306653,979,1551764.9462962963,1545889.5804916318,3.5191969871520996,230369,20307799058106
auto6_2,class5,2,0.1938600540161132,0,12090,994,5726,233,12090.0,4186.25,0.31491875648498535,24025,12091
auto6_2,class5,3,0.2892942428588867,0,14301,1071,7823,251,47024.61538461538,3111.0416666666665,0.36446547508239746,30908,620776
auto6_2,class5,5,0.2869236469268799,0,14309,1072,7831,251,43034.11057692308,4021.1458333333335,0.37589597702026367,31455,722277712
auto1,class1,2,0.0227234363555908,0,820,786,405,231,820.0,793.75,0.026273012161254883,1600,821
auto1,class1,3,0.1776976585388183,0,9515,5672,4973,373,9720.833333333334,8614.583333333334,0.042093753814697266,3065,10701
auto1,class1,5,1.5500702857971191,0,35850,10557,23851,480,193271.32291666666,73326.33333333333,0.06402802467346191,4921,760099
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,5.801091194152832,0,5050,4600,2297,361,5050.0,4600.0,4.028106927871704,10000,5051
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,91.35393834114076,0,125050,124600,61808,361,125050.0,124600.0,6.381452798843384,18900,166751
heart_cleverland,3,2,0.0877277851104736,0,862,314,385,218,862.0,382.6666666666667,0.10996651649475098,1682,904
heart_cleverland,3,3,0.0397737026214599,0,1921,440,1358,325,2983.6464646464647,1158.1464646464647,0.03031468391418457,2348,12384
heart_cleverland,3,5,0.0402164459228515,0,2099,529,1536,374,4812.52601010101,2395.041919191919,0.034273386001586914,2689,974982
analcatdata_boxing1,1,2,0.0090632438659667,0,234,89,64,14,234.0,88.97368421052632,0.006623506546020508,484,301
analcatdata_boxing1,1,3,0.0093514919281005,0,276,131,106,14,313.0263157894737,141.6578947368421,0.008005142211914062,604,2325
analcatdata_boxing1,1,5,0.0092685222625732,0,276,131,106,14,279.3157894736842,114.94736842105263,0.007944345474243164,600,2325
qsar,RB,2,0.1789445877075195,0,6914,699,2761,371,6914.0,714.6176470588235,0.17311620712280273,14860,8257
qsar,RB,3,0.2550454139709472,0,12267,4230,7665,585,10411.871951219513,5077.455882352941,0.21456146240234375,16544,349633
qsar,RB,5,4.483374834060669,0,69516,48058,62844,1077,63837.66280487805,125604.95808823529,0.21429753303527832,17508,275584033
internet,ad.,2,28.395881175994877,0,1378419,1209613,823533,900,1378419.0,1210902.63556116,20.497762441635132,1642870,4831387
robot4,normal,2,0.0115153789520263,0,259,165,105,104,259.0,184.0,0.06414031982421875,595,407
robot4,normal,3,0.0205719470977783,0,795,226,497,198,561.5,334.1666666666667,0.014930963516235352,825,3683
robot4,normal,5,0.0216982364654541,0,849,263,551,238,717.4166666666666,409.3333333333333,0.01743459701538086,983,122438
mw1,2,2,0.1025905609130859,0,6912,577,2669,366,6912.0,706.68,0.15396428108215332,14626,8002
mw1,2,3,0.1671104431152343,0,10939,3644,6683,551,9328.5375,4047.615,0.1791536808013916,15753,333502
mw1,2,5,4.442456245422363,0,74609,62357,70347,840,59490.63,93582.84,0.19162440299987793,17240,254565277
polish_bankruptcy_5year,1,2,0.7056682109832764,0,32386,868,10137,424,32386.0,920.75,0.7749054431915283,64770,32641
polish_bankruptcy_5year,1,3,0.7979323863983154,0,36981,2943,14732,611,34933.362318840576,3936.5849673202615,0.8077211380004883,66223,2763776
polish_bankruptcy_5year,1,5,2.939270257949829,0,70806,34445,48557,809,87171.68333333333,91133.53986928104,0.8255510330200195,68091,8812312832
grammatical_b8,1,2,0.8497984409332275,0,43366,723,42610,531,43366.0,870.3573717948718,4.524657249450684,340471,686207
grammatical_b8,1,3,0.8733863830566406,0,44366,1168,43597,593,43891.451965065506,1177.0576923076924,4.811528444290161,343582,267621512
grammatical_b8,1,5,0.8902111053466797,0,44849,1611,44074,607,43949.969650655024,1352.7665598290598,4.860973119735718,344472,18270601185176
heart_va,3,2,0.0543460845947265,0,68,48,29,22,68.0,51.7,0.011029958724975586,133,92
heart_va,3,3,0.0088703632354736,0,117,94,55,34,121.35,97.16666666666666,0.004432201385498047,206,378
heart_va,3,5,0.0075283050537109,0,136,113,67,37,159.3,124.30000000000001,0.004706859588623047,230,1093
