dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
connectionist_vowel,4,3,0.1826093196868896,0,11274,3559,2919,503,14506.762711864407,5422.762711864407,0.062499284744262695,5116,34280
connectionist_vowel,4,5,0.5019607543945312,0,37192,4810,4460,766,122571.29202860169,17405.64406779661,0.07571005821228027,6072,5495792
breast_cancer_wis_pro,R,2,0.1851780414581298,0,11507,5417,2922,401,10339.103896103896,5675.467532467533,0.23709559440612793,20946,11936
breast_cancer_wis_pro,R,3,3.024700164794922,0,293191,10631,6934,462,207035.80086580088,10134.619047619048,0.31771254539489746,30712,608840
breast_cancer_wis_pro,R,5,5.804111957550049,0,604179,14576,11676,593,561386.1926406927,23377.15541125541,0.34039783477783203,32820,699135746
diggle_table_a2,8,2,0.0092988014221191,0,289,104,70,70,250.1484375,104.59375,0.010523796081542969,546,529
diggle_table_a2,8,3,0.0184869766235351,0,917,248,210,193,774.0494791666666,246.52604166666666,0.013859272003173828,798,5489
diggle_table_a2,8,5,0.0330100059509277,0,1961,506,496,269,1851.8837890625,487.8640625,0.01708531379699707,955,242825
page,5,2,0.0304880142211914,0,737,475,237,183,737.6375,471.4375,0.027238845825195312,1562,821
page,5,3,0.0925536155700683,0,4153,1573,1246,373,4681.309375,1969.525,0.03867292404174805,2337,10701
page,5,5,0.2423112392425537,0,13993,3393,2964,669,29631.9859375,8468.428125,0.051979780197143555,2960,760099
steel-plates-fault,2,2,0.1413638591766357,0,6263,4753,3062,512,5959.466814159292,4441.5,0.17135953903198242,12093,6442
steel-plates-fault,2,3,1.7451775074005127,0,98475,24850,19674,1082,131421.4646017699,42736.13716814159,0.2581367492675781,19914,240578
steel-plates-fault,2,5,2.3289570808410645,0,137871,37756,34709,1592,3621276.770284845,643428.4162979351,0.3137519359588623,23891,147043850
mechanical,4,2,0.0225427150726318,0,372,270,152,143,358.6,271.9,0.02014780044555664,812,466
mechanical,4,3,0.0629720687866211,0,2284,1252,736,317,2195.65,1468.45,0.028647184371948242,1362,4526
mechanical,4,5,0.2634055614471435,0,13613,4788,3243,504,13324.6346875,4928.0875,0.03505992889404297,1789,174437
OnlineShoppersIntention,True,2,0.1194379329681396,0,3194,1691,993,307,3289.0,1832.111111111111,0.1261146068572998,7202,4096
OnlineShoppersIntention,True,3,0.9290144443511964,0,41883,11572,7423,744,46413.03703703704,18792.25925925926,0.19257330894470215,11002,121576
OnlineShoppersIntention,True,5,12.935302734375,0,702310,90735,67700,1066,954847.5189814814,253226.13333333333,0.21812844276428223,12700,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.133652925491333,0,4601,4601,2264,403,4601.0,4601.0,0.15760421752929688,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.233741521835327,0,124601,30939,24367,650,128201.0,58241.0,0.2769138813018799,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.609611988067627,0,642691,30939,24367,650,1113129.125,60851.0,0.32382988929748535,22552,79375496
glass,3,2,0.0126686096191406,0,414,221,145,138,394.5403225806452,230.5,0.014664173126220703,839,497
glass,3,3,0.0317854881286621,0,1778,556,412,267,1709.592741935484,466.96774193548384,0.01765155792236328,1230,4992
glass,3,5,0.0460057258605957,0,2697,816,652,317,3631.416179435484,843.8427419354839,0.020423412322998047,1391,206368
molecular_promoter,+,2,0.2172691822052002,0,17561,1837,1486,465,25613.424342105263,1293.8048245614036,0.48941516876220703,51758,26107
molecular_promoter,+,3,0.87532639503479,0,85233,1272,1105,523,113655.0341739766,2517.4144736842104,0.5328502655029297,54454,1975583
molecular_promoter,+,5,1.2883641719818115,0,128517,1212,1079,520,140542.37005208334,2750.9606359649124,0.5322728157043457,54046,5024313128
blood,1,2,0.0069403648376464,0,113,98,46,46,113.0,95.5,0.00587153434753418,258,137
blood,1,3,0.0104694366455078,0,321,179,84,84,346.75,181.16666666666666,0.007035255432128906,400,697
blood,1,5,0.0116002559661865,0,385,204,96,96,482.1979166666667,204.25,0.00732874870300293,431,2517
weight,B,2,0.3582653999328613,0,32269,1138,1038,380,155065.09327086882,1594.2197614991483,2.8391551971435547,319917,172579
weight,B,3,0.6490120887756348,0,62742,1047,1013,434,250776.8884156729,2327.076093128904,2.964285373687744,321029,33710824
weight,B,5,1.6001896858215332,0,163471,799,726,423,664973.5895176746,5346.6113003975015,2.9659347534179688,321532,575871962176
ozone1,1,2,0.6443719863891602,0,33507,15072,11683,569,39309.68618881119,17096.578671328672,0.9357540607452393,79796,41042
ozone1,1,3,16.017613649368286,0,997761,227327,223948,1137,1223586.2784090908,366759.1818181818,1.3119421005249023,109224,3899182
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3342037200927734,0,276,276,0,0,276.0,276.0,0.22176861763000488,627,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4752979278564453,0,1526,1526,0,0,1617.6666666666667,1526.0,0.25490283966064453,1102,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.0326054096221924,0,7776,4651,0,0,12909.333333333332,4651.0,0.31505918502807617,1677,68406
ionosphere,b,2,0.0926356315612793,0,5455,908,673,331,8070.0,820.5,0.19119024276733398,16386,8257
ionosphere,b,3,0.3063750267028808,0,21749,1943,1376,647,34835.5,2759.333333333333,0.19541263580322266,17751,349633
ionosphere,b,5,1.7233221530914309,0,151384,13104,2778,1205,139811.628125,7416.05,0.2106168270111084,18454,275584033
grammatical_b7,1,2,3.0262451171875,0,178325,28593,27865,1608,198371.640625,17057.36233108108,6.403702259063721,477154,701521
grammatical_b7,1,3,153.78107404708862,0,9992670,1131465,1129916,5231,4699327.487260698,593806.0698198198,8.038129806518555,572351,276633905
wine_quality,4,2,0.0432941913604736,0,1015,1003,439,252,1015.0,1007.0,0.049920082092285156,2118,1082
wine_quality,4,3,0.2984170913696289,0,13027,9520,5332,485,13381.666666666666,10686.5,0.06334471702575684,3978,16262
wine_quality,4,5,2.859675407409668,0,167103,43296,35681,983,344607.39479166665,103733.06666666667,0.09054327011108398,6024,1550201
VehicleCouponRecommendation,0,2,0.12644624710083,0,3659,2587,1449,333,3803.5,2682.5,0.14737415313720703,8283,4187
VehicleCouponRecommendation,0,3,1.1647751331329346,0,54258,17602,9971,670,64693.0,30679.833333333332,0.21961760520935059,13002,125672
VehicleCouponRecommendation,0,5,12.60820698738098,0,664842,133215,67457,1245,1893210.15,416979.8666666667,0.2732839584350586,16144,49302800
auto7_2,class3,2,0.0219182968139648,0,734,725,344,222,732.0,721.0,0.02458477020263672,1523,781
auto7_2,class3,3,0.1467702388763427,0,7842,4676,2721,461,8302.833333333334,6245.166666666667,0.0379331111907959,2859,9920
auto7_2,class3,5,0.7110316753387451,0,52762,8501,5591,588,99263.61354166667,19956.9,0.05015873908996582,3980,667928
wave,0,2,0.1051294803619384,0,3325,2531,1578,497,3445.0,2271.5,0.10549664497375488,7058,3571
wave,0,3,1.1657819747924805,0,60209,12501,10604,991,61611.083333333336,13051.0,0.17058730125427246,11762,98855
wave,0,5,9.327024459838867,0,562421,34552,30225,1696,739470.340625,150467.36666666667,0.19579577445983887,12391,32900372
cnae9,4,2,12.6373872756958,0,788742,371922,263417,784,737064.476731302,369643.67479224375,20.194371938705444,1658815,1662577
grammatical_a9,1,2,1.6402230262756348,0,100764,8007,7514,1227,77659.62290268457,5597.834731543624,3.0077311992645264,194298,711029
grammatical_a9,1,3,44.68762135505676,0,2863252,207079,205920,3316,1471892.3159955258,171009.51454138703,4.228377342224121,271472,282279309
teaching,2,2,0.0087890625,0,340,48,21,21,412.4618644067797,53.728813559322035,0.02126169204711914,1005,1771
teaching,2,3,0.0104281902313232,0,474,60,25,25,683.6814971751412,56.4180790960452,0.016495943069458008,1147,34280
teaching,2,5,0.0103125572204589,0,494,60,25,25,770.1491878531074,57.13841807909604,0.017879486083984375,1121,5495792
auto6_1,class8,2,0.2499725818634033,0,11864,11789,5641,481,11865.5,11786.5,0.2747831344604492,24027,12091
auto6_1,class8,3,8.320541381835938,0,541712,158156,141186,740,582164.9166666666,322681.3333333333,0.529620885848999,47022,620776
auto6_1,class8,5,73.83352756500244,0,6825619,189085,174587,773,10106604.408333333,335486.4166666667,0.6274616718292236,56327,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.289604902267456,0,4601,4601,2314,431,4601.0,4601.0,35.43971920013428,5745,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,501.3111684322357,0,124601,64957,32506,679,128101.0,63251.0,36.19259333610535,5742,166751
ozone8,1,2,0.7050271034240723,0,36173,17273,13480,611,40269.43356643357,16664.65034965035,1.8168244361877441,81226,41042
ozone8,1,3,16.823922157287598,0,1027519,174350,170580,1317,1245981.793123543,295736.68764568766,1.3224971294403076,110524,3899182
