dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
bach, C#d,5,0.5156750679016113,0,29218,2858,2857,938,11126.284906462584,2945.7673469387755,0.04581785202026367,2059,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.817412614822388,0,76401,76401,38263,673,76401.0,76401.0,26.472493410110474,79005,80201
polish_bankruptcy_1year,1,2,0.3169648647308349,0,14409,1622,1454,494,32181.625,873.1328125,0.9664585590362549,65026,32897
polish_bankruptcy_1year,1,3,1.5978271961212158,0,86689,6612,5428,1249,106254.91243489583,7213.2109375,0.8482880592346191,67001,2796417
polish_bankruptcy_1year,1,5,19.281157970428467,0,1244141,131522,118017,2633,1530045.570703125,201314.57044270833,0.8601758480072021,68011,8987138113
coil2000,1,2,1.830451250076294,0,82626,11794,6885,1136,109651.0076923077,4904.069230769231,3.424103260040283,240502,211576
coil2000,1,3,12.638957500457764,0,585210,94248,57148,1762,540411.9096153846,65089.407692307694,3.6640546321868896,251577,45771376
coil2000,1,5,453.70777320861816,0,19236438,4068103,2602429,4931,49068812.81130609,9192236.201538462,3.883190155029297,268139,959528325406
robot2,back_col,2,0.0110197067260742,0,317,288,147,135,329.85714285714283,277.7142857142857,0.02213144302368164,730,407
robot2,back_col,3,0.0249817371368408,0,1257,401,315,209,1841.7261904761904,771.5595238095239,0.018354415893554688,1210,3683
robot2,back_col,5,0.0410199165344238,0,2517,458,374,264,3205.919494047619,692.1202380952382,0.019743680953979492,1234,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0238823890686035,0,553,553,269,204,553.5,553.5,0.024280071258544922,1227,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1131834983825683,0,4722,4014,2246,476,5099.166666666667,4508.666666666667,0.039435625076293945,2232,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.5235276222229004,0,34268,5881,3647,597,33911.739583333336,6540.166666666667,0.049887895584106445,2981,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0033962726593017,0,9,9,0,0,9.0,9.0,0.002195596694946289,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0035071372985839,0,9,9,0,0,9.0,9.0,0.0017955303192138672,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0033085346221923,0,9,9,0,0,9.0,9.0,0.0017781257629394531,18,11
auto6_3,class1,2,0.1991076469421386,0,11533,2747,2331,529,11864.5,1762.0,0.26978206634521484,24027,12091
auto6_3,class1,3,1.13934063911438,0,95718,3352,3137,762,83158.5,5241.5,0.30748558044433594,27398,620776
auto6_3,class1,5,1.919645071029663,0,176386,3428,3215,769,126830.16666666667,3555.8333333333335,0.31286048889160156,27531,722277712
grammatical_b1,1,2,3.1800050735473637,0,197421,7206,6697,1497,207910.6914095079,1863.9341117597999,6.471462249755859,493990,719401
grammatical_b1,1,3,36.994080781936646,0,2353463,69555,55629,3351,560463.6701417848,10183.65387823186,6.87923264503479,501620,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0473468303680419,0,1163,1163,567,273,1166.5,1166.5,0.05400371551513672,2502,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3597879409790039,0,15637,11553,6427,675,16126.416666666666,11303.333333333334,0.07453608512878418,4681,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,2.182856559753418,0,130500,18420,11302,846,213932.38854166667,26441.333333333332,0.09672760963439941,6251,2369936
volcanoes-a1,4,2,0.0057921409606933,0,61,42,22,22,57.229166666666664,42.25,0.005189657211303711,134,79
volcanoes-a1,4,3,0.0073070526123046,0,121,61,41,41,119.29513888888889,69.90277777777777,0.005323648452758789,193,299
volcanoes-a1,4,5,0.0071485042572021,0,121,61,41,41,108.67708333333334,57.06944444444444,0.005174160003662109,184,299
vert3,NO,2,0.0091137886047363,0,265,196,115,115,255.47916666666666,193.625,0.00952911376953125,554,301
vert3,NO,3,0.0201880931854248,0,1153,297,205,179,1130.517361111111,336.73611111111114,0.013567924499511719,861,2325
vert3,NO,5,0.0259394645690917,0,1677,312,226,194,1481.0247829861112,292.71666666666664,0.013758659362792969,886,55455
CongressionalVotingRecords_UCI_,republican,2,0.0178983211517334,0,706,345,230,211,1102.828125,292.3020833333333,0.0314333438873291,2258,1177
CongressionalVotingRecords_UCI_,republican,3,0.0407531261444091,0,2212,577,524,355,3045.4947916666665,990.4479166666667,0.03575420379638672,2565,18473
CongressionalVotingRecords_UCI_,republican,5,0.1288232803344726,0,8290,1233,1232,750,24180.734874131944,7715.854166666667,0.04121255874633789,2930,1925357
pitt2_2,WOOD,2,0.0060338973999023,0,161,52,27,27,150.45652173913044,54.26086956521739,0.006844997406005859,324,277
pitt2_2,WOOD,3,0.0083916187286376,0,340,77,40,40,308.6666666666667,74.65217391304348,0.007862091064453125,409,2048
pitt2_2,WOOD,5,0.0089988708496093,0,401,79,41,41,388.044384057971,70.64492753623189,0.008349180221557617,431,44552
statlog_vehicle,opel,2,0.0505003929138183,0,2453,993,639,332,2521.0,761.0,0.06915473937988281,5186,2629
statlog_vehicle,opel,3,0.1973938941955566,0,12173,1726,1386,570,12116.166666666666,2528.1666666666665,0.0757286548614502,6131,62269
statlog_vehicle,opel,5,0.6431782245635986,0,44013,4271,3832,1046,98854.41875,20635.425,0.08400273323059082,6684,15082603
pitt2_1,DECK,2,0.0066852569580078,0,192,72,39,39,183.09782608695653,71.21739130434783,0.0071260929107666016,393,277
pitt2_1,DECK,3,0.0095977783203125,0,421,118,58,58,476.5326086956522,109.40579710144928,0.008599042892456055,531,2048
pitt2_1,DECK,5,0.0105373859405517,0,492,125,60,60,460.10235507246375,90.43478260869566,0.008793115615844727,508,44552
grammatical_a8,1,2,1.4700946807861328,0,86963,3735,3444,1390,128521.2731092437,728.859243697479,4.294085741043091,315352,708646
grammatical_a8,1,3,19.54272699356079,0,1250327,38687,38347,3662,202480.59261204483,1599.7591036414565,4.573878765106201,318004,280860826
grammatical_a6,1,2,1.058473825454712,0,59196,3801,3460,1203,73417.61078595318,1481.2671404682274,2.855416774749756,180598,715807
grammatical_a6,1,3,20.739320039749146,0,1264854,60692,60348,3903,414303.4670429208,20221.553929765887,3.230558156967163,199590,285130587
auto6_2,class5,2,0.2057356834411621,0,11612,1291,846,159,11864.0,4974.0,0.3326737880706787,24027,12091
auto6_2,class5,3,0.9672732353210448,0,59068,5377,3832,1007,218390.33333333334,14392.833333333334,0.3918750286102295,33290,620776
auto6_2,class5,5,3.3082218170166016,0,278979,5326,4396,1114,476956.6822916667,14879.0,0.36734724044799805,30738,722277712
auto1,class1,2,0.0259201526641845,0,801,798,405,233,801.0,800.0,0.026589155197143555,1602,821
auto1,class1,3,0.2093722820281982,0,9789,7555,4135,456,9996.916666666666,8561.333333333334,0.04372835159301758,3069,10701
auto1,class1,5,1.7228214740753174,0,94363,22701,14647,956,359907.1375,133105.63333333333,0.0665292739868164,5127,760099
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,3.914222717285156,0,4601,4601,2297,426,4601.0,4601.0,4.114025354385376,10002,5051
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,35.62264537811279,0,124601,65070,32205,735,128501.0,67151.0,6.34526801109314,18902,166751
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,289.16918301582336,0,1181851,65070,32205,735,1205187.875,66641.0,7.39866304397583,22938,79375496
heart_cleverland,3,2,0.0201752185821533,0,787,509,290,222,807.047619047619,416.7142857142857,0.12210750579833984,1682,904
heart_cleverland,3,3,0.0656507015228271,0,3722,937,722,409,2948.0396825396824,920.5238095238095,0.028157949447631836,2064,12384
heart_cleverland,3,5,0.1343510150909423,0,9566,1118,922,549,13224.184523809523,2211.8492063492063,0.03401374816894531,2521,974982
analcatdata_boxing1,1,2,0.0060656070709228,0,189,32,14,14,180.53125,34.6875,0.0067598819732666016,506,301
analcatdata_boxing1,1,3,0.0076906681060791,0,309,32,14,14,198.10416666666666,27.6875,0.0072765350341796875,508,2325
analcatdata_boxing1,1,5,0.0075936317443847,0,309,32,14,14,241.27083333333334,35.125,0.007359027862548828,520,2325
qsar,RB,2,0.0889711380004882,0,3889,1386,1071,410,7098.36328125,1068.4140625,0.17299866676330566,14594,8257
qsar,RB,3,0.3803012371063232,0,19405,4595,4135,581,26905.677734375,6711.1171875,0.19820499420166016,15924,349633
qsar,RB,5,5.201066970825195,0,291599,58258,57072,1185,1382069.2740234374,367331.733203125,0.24160075187683105,18688,275584033
internet,ad.,2,45.37881517410278,0,2417099,1210271,673513,889,2260195.2914979756,1198114.6801619434,20.50835108757019,1641214,4831387
robot4,normal,2,0.0117256641387939,0,261,186,104,104,273.1607142857143,191.14285714285714,0.06498122215270996,618,407
robot4,normal,3,0.0191805362701416,0,681,261,251,220,1064.767857142857,446.23809523809524,0.01634979248046875,907,3683
robot4,normal,5,0.0283565521240234,0,1269,346,340,328,2050.299107142857,508.9839285714286,0.017711877822875977,969,122438
mw1,2,2,0.0652673244476318,0,3403,1091,805,384,7209.678571428572,673.2857142857143,0.1563858985900879,14744,8002
mw1,2,3,0.3761963844299316,0,26414,5041,4437,762,25289.041666666668,4614.452380952381,0.17803096771240234,15802,333502
mw1,2,5,6.439351320266724,0,505179,76960,73193,2013,627773.6528273809,166206.92857142858,0.21210050582885742,18104,254565277
polish_bankruptcy_5year,1,2,0.2072260379791259,0,8639,1521,1105,507,32104.113725490195,1062.321568627451,0.7642688751220703,64772,32641
polish_bankruptcy_5year,1,3,1.695821762084961,0,93792,8404,5809,1138,100980.44705882353,9528.822222222223,0.8183653354644775,66690,2763776
polish_bankruptcy_5year,1,5,27.766865015029907,0,1644672,68971,65676,3252,2396953.115833333,172755.22359477123,0.8254175186157227,67505,8812312832
grammatical_b8,1,2,1.4111177921295166,0,82756,3025,2616,1289,139711.73228010247,745.895388556789,4.707922458648682,340763,686207
grammatical_b8,1,3,10.484899520874023,0,669073,19401,15366,3143,229961.0479291204,1811.3215200683176,4.9672770500183105,343539,267621512
grammatical_b8,1,5,1107.92223405838,0,73001322,6007147,5552278,8023,1434647.8234761956,73348.11949188728,5.05149245262146,345510,18270601185176
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,281.23005723953247,0,53601,21561,10545,592,50421.0,20294.333333333332,84.28684282302856,6261,80201
heart_va,3,2,0.0187201499938964,0,63,40,22,22,60.15384615384615,41.0,1.7037923336029053,132,92
heart_va,3,3,0.0058472156524658,0,115,69,34,34,126.17948717948718,71.0,0.004619598388671875,194,378
heart_va,3,5,0.0060622692108154,0,133,78,37,37,165.06971153846155,80.35897435897436,0.004734516143798828,214,1093
volcanoes-b5,4,2,0.0089907646179199,0,61,57,20,20,61.0,57.5,0.006292819976806641,146,79
volcanoes-b5,4,3,0.01068115234375,0,125,90,37,37,139.16666666666666,82.83333333333333,0.007483005523681641,219,299
volcanoes-b5,4,5,0.010796308517456,0,125,90,37,37,136.41666666666666,97.66666666666667,0.0075588226318359375,223,299
wilt,w,2,0.0114836692810058,0,181,159,78,78,181.0,159.5,0.00959157943725586,402,211
wilt,w,3,0.0209732055664062,0,613,368,260,210,724.1666666666666,523.0,0.01307821273803711,647,1351
wilt,w,5,0.0288405418395996,0,1045,414,332,264,1672.6885416666667,657.7083333333334,0.014870882034301758,762,21700
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.1051688194274902,0,276,276,144,135,276.0,276.0,0.08211016654968262,627,326
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.1718711853027343,0,1526,1311,666,268,1609.3333333333333,1346.0,0.09911775588989258,1102,2626
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.3387959003448486,0,5426,2843,1438,396,8223.9375,3004.3333333333335,0.11841607093811035,1506,68406
