dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting
grammatical_a9,1,2,0.2539048194885254,0,9577,2447,8931,528
grammatical_a9,1,3,1.0734443664550781,0,47098,19168,46452,559
grammatical_a9,1,5,163.5478012561798,0,454330,415856,453684,568
teaching,2,2,0.00779414176940918,0,195,47,72,21
teaching,2,3,0.008193254470825195,0,214,59,78,25
teaching,2,5,0.008370637893676758,0,214,59,78,25
auto6_1,class8,2,0.219696044921875,0,12090,2635,5641,418
auto6_1,class8,3,0.6761507987976074,0,29366,3146,21840,454
auto6_1,class8,5,0.6766417026519775,0,29417,3151,21891,456
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,60.05484366416931,0,5050,4600,2314,357
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,1.4676692485809326,0,30914,829,14962,500
ozone8,1,3,0.7170147895812988,0,34606,2695,18654,610
ozone8,1,5,1.777266502380371,0,54144,21117,38192,663
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.014241218566894531,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.015201568603515625,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.014182329177856445,0,10,8,0,0
bach, C#d,2,0.021988868713378906,0,280,164,208,171
bach, C#d,3,0.04242277145385742,0,944,450,872,340
bach, C#d,5,0.11070728302001953,0,2121,1242,2049,623
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,60.0855598449707,0,80200,76400,38263,210
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,1.7016119956970215,0,32387,840,13123,403
polish_bankruptcy_1year,1,3,0.8250603675842285,0,35827,2147,16563,523
polish_bankruptcy_1year,1,5,0.9852170944213867,0,39780,4534,20516,607
coil2000,1,2,2.0743160247802734,0,68915,3992,31820,722
coil2000,1,3,5.4853129386901855,0,133944,27849,67773,1003
coil2000,1,5,-1.0,1,-1,-1,-1,-1
robot2,back_col,2,0.011293649673461914,0,353,244,151,133
robot2,back_col,3,0.0564875602722168,0,1251,352,782,223
robot2,back_col,5,0.05920910835266113,0,1297,374,828,235
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0236971378326416,0,630,552,269,197
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1439807415008545,0,4799,2891,2441,257
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.3514821529388428,0,9039,3000,5358,257
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.00419926643371582,0,10,8,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.003974199295043945,0,10,8,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.004057168960571289,0,10,8,0,0
auto6_3,class1,2,0.19804596900939941,0,12090,1017,5586,480
auto6_3,class1,3,0.25594639778137207,0,14704,1319,8169,527
auto6_3,class1,5,0.2570362091064453,0,14754,1327,8219,527
grammatical_b1,1,2,1.517747163772583,0,85865,1640,80897,738
grammatical_b1,1,3,1.699061393737793,0,94498,6421,89530,807
grammatical_b1,1,5,7.312918186187744,0,144285,53148,139317,819
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04843258857727051,0,1275,1162,567,262
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.43621087074279785,0,15749,7333,8065,305
EqualDist_Random-Synthetic__2_10_7463_,1,5,1.6062464714050293,0,31168,8103,17891,307
volcanoes-a1,4,2,0.006897687911987305,0,67,41,22,22
volcanoes-a1,4,3,0.007513999938964844,0,89,60,41,41
volcanoes-a1,4,5,0.007220268249511719,0,89,60,41,41
vert3,NO,2,0.009610414505004883,0,277,157,128,115
vert3,NO,3,0.015763282775878906,0,686,224,456,157
vert3,NO,5,0.01637887954711914,0,711,238,481,170
CongressionalVotingRecords_UCI_,republican,2,0.022423505783081055,0,1129,169,477,211
CongressionalVotingRecords_UCI_,republican,3,0.06068015098571777,0,1614,332,962,338
CongressionalVotingRecords_UCI_,republican,5,0.06776213645935059,0,1827,417,1175,393
pitt2_2,WOOD,2,0.006589651107788086,0,114,51,48,27
pitt2_2,WOOD,3,0.007055759429931641,0,158,76,73,40
pitt2_2,WOOD,5,0.007289409637451172,0,162,78,76,41
statlog_vehicle,opel,2,0.07668876647949219,0,2628,364,1044,302
statlog_vehicle,opel,3,0.09318804740905762,0,3547,683,1912,403
statlog_vehicle,opel,5,0.12481546401977539,0,4721,1798,3086,447
pitt2_1,DECK,2,0.007093191146850586,0,159,71,76,39
pitt2_1,DECK,3,0.008550643920898438,0,236,117,108,58
pitt2_1,DECK,5,0.008594274520874023,0,247,124,111,60
grammatical_a8,1,2,0.6988317966461182,0,36170,664,34745,741
grammatical_a8,1,3,0.7393584251403809,0,38331,1471,36906,772
grammatical_a8,1,5,0.8405680656433105,0,41572,4590,40147,775
grammatical_a6,1,2,0.3312368392944336,0,12521,1380,11742,716
grammatical_a6,1,3,0.7341556549072266,0,31282,17625,30503,876
grammatical_a6,1,5,469.0086166858673,0,1307432,1266062,1306653,979
auto6_2,class5,2,0.21951770782470703,0,12090,994,5726,233
auto6_2,class5,3,0.3030233383178711,0,14301,1071,7823,251
auto6_2,class5,5,0.30395984649658203,0,14309,1072,7831,251
auto1,class1,2,0.022854089736938477,0,820,786,405,231
auto1,class1,3,0.21222829818725586,0,9515,5672,4973,373
auto1,class1,5,1.5518090724945068,0,35850,10557,23851,480
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,5.8267982006073,0,5050,4600,2297,361
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,91.18923592567444,0,125050,65069,61808,361
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,1084.719973564148,0,312437,65069,157401,361
heart_cleverland,3,2,0.0812530517578125,0,822,310,373,218
heart_cleverland,3,3,0.338456392288208,0,1852,436,1317,325
heart_cleverland,3,5,0.0700979232788086,0,2030,525,1495,374
analcatdata_boxing1,1,2,0.007915973663330078,0,234,31,64,14
analcatdata_boxing1,1,3,0.007894277572631836,0,234,31,64,14
analcatdata_boxing1,1,5,0.007946968078613281,0,234,31,64,14
qsar,RB,2,0.1806778907775879,0,6569,696,2622,371
qsar,RB,3,0.28461217880249023,0,11922,4227,7526,585
qsar,RB,5,4.391747236251831,0,69171,48055,62705,1077
internet,ad.,2,27.869198322296143,0,1378419,1209613,823533,900
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.011007070541381836,0,259,164,105,104
robot4,normal,3,0.020013809204101562,0,786,225,490,198
robot4,normal,5,0.022658824920654297,0,840,262,544,238
mw1,2,2,0.09943652153015137,0,6912,577,2669,366
mw1,2,3,0.1597764492034912,0,10939,3644,6683,551
mw1,2,5,4.356310844421387,0,74609,62357,70347,840
polish_bankruptcy_5year,1,2,0.679861307144165,0,32386,868,10137,424
polish_bankruptcy_5year,1,3,0.7773361206054688,0,36981,2943,14732,611
polish_bankruptcy_5year,1,5,2.84334135055542,0,70806,34445,48557,809
grammatical_b8,1,2,0.7790107727050781,0,43366,723,42610,531
grammatical_b8,1,3,0.8040781021118164,0,44366,1168,43597,593
grammatical_b8,1,5,0.8162338733673096,0,44849,1611,44074,607
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.05855917930603027,0,58,39,25,22
heart_va,3,3,0.008352518081665039,0,91,68,40,34
heart_va,3,5,0.008219242095947266,0,100,77,43,37
volcanoes-b5,4,2,0.01355123519897461,0,78,56,20,20
volcanoes-b5,4,3,0.014138460159301758,0,128,89,37,37
volcanoes-b5,4,5,0.012265443801879883,0,128,89,37,37
wilt,w,2,0.02536487579345703,0,210,158,78,78
wilt,w,3,0.02659440040588379,0,648,245,308,179
wilt,w,5,0.02416253089904785,0,678,255,338,186
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.18441462516784668,0,325,275,144,134
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.6353499889373779,0,1575,1275,775,225
