dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,526.0844473838806,0,124601,64957,62297,453
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,0.7411675453186035,0,34467,1458,15004,500
ozone8,1,3,2.6437904834747314,0,130543,5424,86322,909
ozone8,1,5,30.609426021575928,0,1564433,61825,1148044,1621
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.013944625854492188,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.01367950439453125,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013099193572998047,0,9,9,0,0
bach, C#d,2,0.03070354461669922,0,609,190,208,171
bach, C#d,3,0.10327410697937012,0,3657,700,1195,407
bach, C#d,5,0.6258323192596436,0,29473,2859,8564,988
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,33.57186579704285,0,76401,76401,38263,210
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,0.7675402164459229,0,32173,1470,13123,403
polish_bankruptcy_1year,1,3,2.5030665397644043,0,114785,4412,65729,642
polish_bankruptcy_1year,1,5,23.714529752731323,0,1243073,124189,546864,983
coil2000,1,2,3.051623821258545,0,131569,10352,38688,722
coil2000,1,3,15.59272837638855,0,645993,85468,209707,1318
coil2000,1,5,499.3387734889984,0,19322677,4043617,6981544,3781
robot2,back_col,2,0.011343002319335938,0,317,287,151,133
robot2,back_col,3,0.029413938522338867,0,1229,382,735,202
robot2,back_col,5,0.05240321159362793,0,2461,431,1523,236
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.023732423782348633,0,553,553,269,197
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1132497787475586,0,4722,3935,2441,430
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.6813366413116455,0,32602,5596,19168,512
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0035247802734375,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.003722667694091797,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0034029483795166016,0,9,9,0,0
auto6_3,class1,2,0.22166228294372559,0,11864,2467,5586,480
auto6_3,class1,3,1.7334983348846436,0,96356,2947,61815,624
auto6_3,class1,5,2.6654512882232666,0,149901,2994,93045,634
grammatical_b1,1,2,4.996332406997681,0,247493,4737,173545,738
grammatical_b1,1,3,38.20656156539917,0,1950306,42038,1521012,1039
grammatical_b1,1,5,-1.0,1,-1,-1,-1,-1
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04739713668823242,0,1163,1163,567,262
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3646676540374756,0,15637,11107,8065,552
EqualDist_Random-Synthetic__2_10_7463_,1,5,2.6098098754882812,0,120548,16690,70676,666
volcanoes-a1,4,2,0.006484508514404297,0,61,42,22,22
volcanoes-a1,4,3,0.008141040802001953,0,121,61,41,41
volcanoes-a1,4,5,0.007869720458984375,0,121,61,41,41
