dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4752979278564453,0,1526,1526,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.0326054096221924,0,7776,4651,0,0
ionosphere,b,2,0.0926356315612793,0,5455,908,673,331
ionosphere,b,3,0.30637502670288086,0,21749,1943,1376,647
ionosphere,b,5,1.7233221530914307,0,151384,13104,2778,1205
grammatical_b7,1,2,3.0262451171875,0,178325,28593,27865,1608
grammatical_b7,1,3,153.78107404708862,0,9992670,1131465,1129916,5231
grammatical_b7,1,5,-1.0,1,-1,-1,-1,-1
wine_quality,4,2,0.04329419136047363,0,1015,1003,439,252
wine_quality,4,3,0.2984170913696289,0,13027,9520,5332,485
wine_quality,4,5,2.859675407409668,0,167103,43296,35681,983
VehicleCouponRecommendation,0,2,0.12644624710083008,0,3659,2587,1449,333
VehicleCouponRecommendation,0,3,1.1647751331329346,0,54258,17602,9971,670
VehicleCouponRecommendation,0,5,12.608206987380981,0,664842,133215,67457,1245
auto7_2,class3,2,0.021918296813964844,0,734,725,344,222
auto7_2,class3,3,0.14677023887634277,0,7842,4676,2721,461
auto7_2,class3,5,0.7110316753387451,0,52762,8501,5591,588
wave,0,2,0.10512948036193848,0,3325,2531,1578,497
wave,0,3,1.1657819747924805,0,60209,12501,10604,991
wave,0,5,9.327024459838867,0,562421,34552,30225,1696
cnae9,4,2,12.6373872756958,0,788742,371922,263417,784
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,1.6402230262756348,0,100764,8007,7514,1227
grammatical_a9,1,3,44.68762135505676,0,2863252,207079,205920,3316
grammatical_a9,1,5,-1.0,1,-1,-1,-1,-1
teaching,2,2,0.0087890625,0,340,48,21,21
teaching,2,3,0.010428190231323242,0,474,60,25,25
teaching,2,5,0.010312557220458984,0,494,60,25,25
auto6_1,class8,2,0.24997258186340332,0,11864,11789,5641,481
auto6_1,class8,3,8.320541381835938,0,541712,158156,141186,740
auto6_1,class8,5,73.83352756500244,0,6825619,189085,174587,773
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.289604902267456,0,4601,4601,2314,431
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,501.3111684322357,0,124601,64957,32506,679
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,0.7050271034240723,0,36173,17273,13480,611
ozone8,1,3,16.823922157287598,0,1027519,174350,170580,1317
ozone8,1,5,922.8702669143677,0,62048625,6397074,6391607,2728
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.015817880630493164,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.014723777770996094,0,9,9,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.01472783088684082,0,9,9,0,0
bach, C#d,2,0.030504226684570312,0,609,226,208,174
bach, C#d,3,0.10550546646118164,0,4086,1315,1250,416
bach, C#d,5,0.9109611511230469,0,51274,12981,12929,739
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.427500009536743,0,76401,76401,38263,642
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,0.7752406597137451,0,32173,23378,13037,502
polish_bankruptcy_1year,1,3,34.20442533493042,0,1864865,790441,705568,1226
polish_bankruptcy_1year,1,5,-1.0,1,-1,-1,-1,-1
coil2000,1,2,3.216864585876465,0,154186,50507,28129,903
coil2000,1,3,140.87848377227783,0,8150313,1444980,890180,1829
coil2000,1,5,-1.0,1,-1,-1,-1,-1
robot2,back_col,2,0.011841058731079102,0,317,293,147,135
robot2,back_col,3,0.03197073936462402,0,1665,669,501,182
robot2,back_col,5,0.05397915840148926,0,3409,770,620,230
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.02441692352294922,0,553,553,269,208
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1143960952758789,0,4722,4717,2441,426
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.7876491546630859,0,53114,11646,6564,523
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0038909912109375,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.004458189010620117,0,9,9,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.004039764404296875,0,9,9,0,0
auto6_3,class1,2,0.2231733798980713,0,11864,10527,5584,516
auto6_3,class1,3,4.580793142318726,0,406849,40452,35913,680
auto6_3,class1,5,16.4843168258667,0,1604599,42845,38289,682
grammatical_b1,1,2,4.541126728057861,0,291671,15378,14524,1451
grammatical_b1,1,3,66.7687156200409,0,4359218,166429,151555,2998
grammatical_b1,1,5,-1.0,1,-1,-1,-1,-1
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04850125312805176,0,1163,1163,567,268
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3663771152496338,0,15637,15632,8065,578
EqualDist_Random-Synthetic__2_10_7463_,1,5,4.73163914680481,0,310438,56930,36427,683
volcanoes-a1,4,2,0.006737709045410156,0,61,42,22,22
volcanoes-a1,4,3,0.008363485336303711,0,121,61,41,41
volcanoes-a1,4,5,0.008191347122192383,0,121,61,41,41
vert3,NO,2,0.010006189346313477,0,265,196,115,115
vert3,NO,3,0.021816253662109375,0,1217,320,205,178
vert3,NO,5,0.02831268310546875,0,1781,344,226,190
CongressionalVotingRecords_UCI_,republican,2,0.019683837890625,0,760,386,249,208
CongressionalVotingRecords_UCI_,republican,3,0.044925689697265625,0,2404,736,661,360
CongressionalVotingRecords_UCI_,republican,5,0.16982483863830566,0,10975,1973,1972,729
pitt2_2,WOOD,2,0.006627082824707031,0,161,52,27,27
pitt2_2,WOOD,3,0.008734703063964844,0,340,77,40,40
pitt2_2,WOOD,5,0.009380340576171875,0,401,79,41,41
statlog_vehicle,opel,2,0.05562996864318848,0,2521,1829,984,337
statlog_vehicle,opel,3,0.39798426628112793,0,25309,5286,4241,404
statlog_vehicle,opel,5,1.6170742511749268,0,110549,12105,10809,775
pitt2_1,DECK,2,0.0070648193359375,0,192,72,39,39
pitt2_1,DECK,3,0.010071992874145508,0,421,118,58,58
pitt2_1,DECK,5,0.010912418365478516,0,492,125,60,60
grammatical_a8,1,2,1.6894032955169678,0,101891,6395,5881,1316
grammatical_a8,1,3,33.63768815994263,0,2191491,99723,99310,3448
grammatical_a8,1,5,-1.0,1,-1,-1,-1,-1
grammatical_a6,1,2,1.6197052001953125,0,97003,8694,8189,1091
grammatical_a6,1,3,44.69654822349548,0,2868326,222768,222300,3255
grammatical_a6,1,5,-1.0,1,-1,-1,-1,-1
auto6_2,class5,2,0.2525322437286377,0,11864,11418,5726,157
auto6_2,class5,3,6.567876577377319,0,420589,38746,26876,953
auto6_2,class5,5,23.80505919456482,0,2057257,50611,28540,1019
auto1,class1,2,0.027316570281982422,0,801,801,405,216
auto1,class1,3,0.22347140312194824,0,9919,9873,5013,499
auto1,class1,5,7.108026504516602,0,388535,154447,102612,929
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,3.946446418762207,0,4601,4601,2297,419
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,35.10490894317627,0,124601,65070,32205,659
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,284.2221214771271,0,1181851,65070,32205,659
heart_cleverland,3,2,0.02123284339904785,0,802,604,306,223
heart_cleverland,3,3,0.10586690902709961,0,6980,2293,1458,401
heart_cleverland,3,5,0.33561158180236816,0,25461,3811,3141,469
analcatdata_boxing1,1,2,0.006781339645385742,0,189,32,14,14
analcatdata_boxing1,1,3,0.00792241096496582,0,309,32,14,14
analcatdata_boxing1,1,5,0.007847785949707031,0,309,32,14,14
qsar,RB,2,0.12950634956359863,0,6231,2843,1838,387
qsar,RB,3,1.0985450744628906,0,58876,15938,14489,547
qsar,RB,5,24.294437170028687,0,1433925,336030,326286,918
internet,ad.,2,45.0935742855072,0,2417099,1210801,673973,899
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.012245416641235352,0,261,186,104,104
robot4,normal,3,0.019781112670898438,0,717,287,273,205
robot4,normal,5,0.029516220092773438,0,1365,363,357,322
mw1,2,2,0.12585091590881348,0,7025,3247,2103,370
mw1,2,3,1.1559746265411377,0,81791,16812,13840,778
mw1,2,5,34.23866558074951,0,2783593,549969,489654,1614
polish_bankruptcy_5year,1,2,0.6868171691894531,0,31068,13262,8795,519
polish_bankruptcy_5year,1,3,8.735752820968628,0,478352,105787,89720,1256
polish_bankruptcy_5year,1,5,907.8362889289856,0,61091267,10387341,9178779,2818
grammatical_b8,1,2,1.7335655689239502,0,101298,4838,4344,1238
grammatical_b8,1,3,20.770581245422363,0,1308448,42707,37245,3086
grammatical_b8,1,5,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,279.14589738845825,0,53601,21561,10545,594
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.0054569244384765625,0,63,40,22,22
heart_va,3,3,0.0061566829681396484,0,115,69,34,34
heart_va,3,5,0.006587028503417969,0,133,78,37,37
volcanoes-b5,4,2,0.00998997688293457,0,61,57,20,20
volcanoes-b5,4,3,0.011280536651611328,0,125,90,37,37
volcanoes-b5,4,5,0.011605262756347656,0,125,90,37,37
wilt,w,2,0.012348651885986328,0,181,159,78,78
wilt,w,3,0.024007320404052734,0,701,504,292,203
wilt,w,5,0.03625679016113281,0,1369,721,480,252
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.11758589744567871,0,276,276,144,135
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.18176698684692383,0,1526,1314,666,284
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.3457314968109131,0,5431,2850,1438,357
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.01973557472229004,0,276,276,136,129
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05080246925354004,0,1526,1526,782,302
