dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting
crx,positive,2,0.03562569618225098,0,1891,355,729,261
crx,positive,3,0.057321786880493164,0,3118,505,1662,392
crx,positive,5,0.06106925010681152,0,3281,591,1818,460
GermanCredit_UCI_,2,2,0.05222320556640625,0,2850,803,1359,258
GermanCredit_UCI_,2,3,0.15102100372314453,0,8086,2301,4868,374
GermanCredit_UCI_,2,5,0.3512904644012451,0,12352,4778,7976,472
pc1,2,2,0.05405759811401367,0,2850,291,806,329
pc1,2,3,0.07533979415893555,0,4023,1214,1963,484
pc1,2,5,0.5467772483825684,0,15329,12234,13269,671
mfeat-pixel,8,2,0.8478481769561768,0,35318,3460,29578,901
mfeat-pixel,8,3,2.395346164703369,0,100525,16712,94785,1346
mfeat-pixel,8,5,52.62808132171631,0,321454,162385,315714,1672
hv_noise,0,2,1.3883981704711914,0,80200,20200,26173,422
hv_noise,0,3,21.10117244720459,0,727000,667000,349573,700
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.04699993133544922,0,1962,245,835,281
image,WINDOW,3,0.059801340103149414,0,2587,503,1460,392
image,WINDOW,5,0.07645964622497559,0,3374,1070,2247,462
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.337129592895508,0,325,275,132,127
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.61337375640869,0,1575,1525,747,225
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,90.38305258750916,0,7825,7775,3885,225
polish_bankruptcy_4year,1,2,0.8157260417938232,0,32641,1139,12510,454
polish_bankruptcy_4year,1,3,1.0457518100738525,0,40957,3697,20826,593
polish_bankruptcy_4year,1,5,3.5199427604675293,0,73022,29616,52891,681
lung,3,2,0.12348747253417969,0,9066,1243,4135,235
lung,3,3,0.34682393074035645,0,20964,5143,13807,358
lung,3,5,1.3101692199707031,0,42000,14962,33836,443
credit,+,2,0.035680532455444336,0,1891,302,733,266
credit,+,3,0.05236625671386719,0,2834,452,1517,395
credit,+,5,0.056069374084472656,0,3000,533,1677,455
lymphography,fibrosis,2,0.015745162963867188,0,587,430,396,150
lymphography,fibrosis,3,0.05628800392150879,0,3266,1063,2934,245
lymphography,fibrosis,5,0.1876370906829834,0,7432,5229,7100,281
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.062256574630737305,0,191,151,109,103
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.0904393196105957,0,586,251,434,184
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.09281110763549805,0,586,251,434,184
ring,0,2,0.10955953598022461,0,3240,271,1556,365
ring,0,3,0.13715672492980957,0,4380,271,2696,365
ring,0,5,0.13819575309753418,0,4380,271,2696,365
mc1,2,2,0.17704057693481445,0,3668,633,1248,331
mc1,2,3,0.41936373710632324,0,9135,5349,6665,607
mc1,2,5,18.38936495780945,0,139686,128409,137125,943
thyroid_allhyper,goitre.,2,0.03859901428222656,0,1192,381,550,271
thyroid_allhyper,goitre.,3,0.09942340850830078,0,3722,1061,2724,498
thyroid_allhyper,goitre.,5,0.4399895668029785,0,12290,9629,11286,735
mammographics,1,2,0.009638547897338867,0,254,176,110,66
mammographics,1,3,0.01774287223815918,0,736,266,374,133
mammographics,1,5,0.01918959617614746,0,795,304,429,165
dresses,1,2,0.13548994064331055,0,9904,690,1860,224
dresses,1,3,0.2219555377960205,0,13451,1434,3917,297
dresses,1,5,0.25551414489746094,0,14574,1753,4689,303
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.004459381103515625,0,10,8,0,0
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.004112958908081055,0,10,8,0,0
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,5,0.004192352294921875,0,10,8,0,0
thyroid_new_thyroid,2,2,0.0068624019622802734,0,125,72,43,31
thyroid_new_thyroid,2,3,0.008670806884765625,0,218,162,131,44
thyroid_new_thyroid,2,5,0.010450601577758789,0,298,241,210,50
Balance_UCI_,R,2,0.00823211669921875,0,210,164,75,75
Balance_UCI_,R,3,0.015911102294921875,0,658,536,307,75
