dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.019227266311645508,0,276,276,136,132
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05111217498779297,0,1526,1526,782,313
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.1419064998626709,0,6096,2620,1597,459
mfeat-karhunen,8,2,0.2755000591278076,0,13017,646,632,316
mfeat-karhunen,8,3,0.7323651313781738,0,39385,1109,1024,715
mfeat-karhunen,8,5,2.6556434631347656,0,181657,2209,2093,1470
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0034999847412109375,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.003583669662475586,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0035703182220458984,0,7,6,4,4
Iris_UCI_,Iris-virginica,2,0.0054967403411865234,0,105,35,27,27
Iris_UCI_,Iris-virginica,3,0.006127595901489258,0,177,41,32,32
Iris_UCI_,Iris-virginica,5,0.006293296813964844,0,185,41,32,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.013119935989379883,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.012581825256347656,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.01286768913269043,0,7,6,4,4
thyroid_ann,2,2,0.05190134048461914,0,985,683,357,230
thyroid_ann,2,3,0.24725699424743652,0,7033,2326,1729,593
thyroid_ann,2,5,2.7734720706939697,0,85853,11280,10748,1187
seeds,2,2,0.008464813232421875,0,257,121,70,70
seeds,2,3,0.015441179275512695,0,753,202,152,141
seeds,2,5,0.021410465240478516,0,1205,239,201,185
hv_no_noise,0,2,1.1566352844238281,0,79601,20201,10100,253
hv_no_noise,0,3,35.75713324546814,0,2666801,667001,333500,336
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.027314186096191406,0,1103,623,348,263
statlog_australian,1,3,0.08121633529663086,0,4114,1133,774,499
statlog_australian,1,5,0.1986377239227295,0,12339,2146,1408,894
hiv_schilling,1,2,0.12364864349365234,0,7741,757,626,391
hiv_schilling,1,3,0.514641523361206,0,43161,762,628,394
hiv_schilling,1,5,0.5221385955810547,0,43361,762,628,394
heart-long-beach,4,2,0.018419265747070312,0,728,444,249,185
heart-long-beach,4,3,0.07232213020324707,0,4776,1441,999,349
heart-long-beach,4,5,0.21453571319580078,0,16349,3582,2904,560
datatrieve,2,2,0.010392189025878906,0,399,137,86,86
datatrieve,2,3,0.019714832305908203,0,1095,267,183,166
datatrieve,2,5,0.028645753860473633,0,1801,369,287,233
jEdit_4.0_4.2,2,2,0.011608600616455078,0,368,267,148,138
jEdit_4.0_4.2,2,3,0.03021860122680664,0,1682,536,352,259
jEdit_4.0_4.2,2,5,0.06118059158325195,0,4099,780,482,408
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.027175426483154,0,276,276,143,135
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.46179461479187,0,1526,1209,623,304
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,28.982898235321045,0,5036,2600,1330,412
pitt1_2,WOOD,2,0.0064580440521240234,0,170,45,27,27
pitt1_2,WOOD,3,0.008221626281738281,0,324,60,35,35
pitt1_2,WOOD,5,0.008681297302246094,0,368,61,35,35
backache,2,2,0.0570521354675293,0,3200,1485,803,364
backache,2,3,0.29880428314208984,0,18725,7222,3911,676
backache,2,5,3.0940728187561035,0,200434,71183,28561,1351
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.7643024921417236,0,37779,11613,6155,599
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,17.608415365219116,0,1171116,45389,28930,1019
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,54.10944080352783,0,4158793,45639,29240,1035
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9155640602111816,0,276,276,134,131
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.4398770332336426,0,1526,1526,766,306
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.048827648162842,0,7776,4651,2331,438
thyroid_hypothyroid,hypothyroid,2,0.020503997802734375,0,459,303,182,164
thyroid_hypothyroid,hypothyroid,3,0.06224846839904785,0,2229,1156,872,295
thyroid_hypothyroid,hypothyroid,5,0.4663877487182617,0,18945,9521,8877,464
grammatical_a3,1,2,1.0807137489318848,0,67068,3235,3021,1228
grammatical_a3,1,3,15.380847215652466,0,1068977,46157,44978,3216
grammatical_a3,1,5,-1.0,1,-1,-1,-1,-1
crx,positive,2,0.028290510177612305,0,1190,677,371,278
crx,positive,3,0.08597946166992188,0,4867,1323,889,517
crx,positive,5,0.20716595649719238,0,12545,1872,1455,846
GermanCredit_UCI_,2,2,0.05039620399475098,0,2255,1127,647,256
GermanCredit_UCI_,2,3,0.18590283393859863,0,10000,2773,1964,460
GermanCredit_UCI_,2,5,0.3837442398071289,0,21361,5733,4493,969
pc1,2,2,0.043076515197753906,0,1866,723,463,334
pc1,2,3,0.1262671947479248,0,7094,1820,1389,459
pc1,2,5,1.2904329299926758,0,83333,20574,14996,1685
mfeat-pixel,8,2,1.6821553707122803,0,92316,5670,5410,951
mfeat-pixel,8,3,19.658419847488403,0,1117705,33937,33484,1593
mfeat-pixel,8,5,518.358146905899,0,33631664,511391,486210,4070
hv_noise,0,2,1.1557786464691162,0,79601,20201,10100,624
hv_noise,0,3,35.10687565803528,0,2666801,667001,333500,996
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.044411420822143555,0,1464,589,389,299
image,WINDOW,3,0.11220860481262207,0,5616,1053,980,600
image,WINDOW,5,0.49840450286865234,0,30123,2695,2654,1062
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.100434303283691,0,276,276,132,131
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.712263584136963,0,1526,1526,747,322
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,38.79564356803894,0,7776,4651,2318,487
polish_bankruptcy_4year,1,2,0.30510663986206055,0,11197,2147,1637,596
polish_bankruptcy_4year,1,3,2.4952752590179443,0,123029,10907,8919,1363
polish_bankruptcy_4year,1,5,44.90024995803833,0,2371057,104162,97989,4245
lung,3,2,0.07400178909301758,0,5302,995,416,224
lung,3,3,0.3466324806213379,0,29253,3658,2308,342
