dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,8.865396976470947,0,276,276,143,135
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.637283325195312,0,1526,1209,787,297
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,29.39774250984192,0,5036,2600,2572,367
pitt1_2,WOOD,2,0.0075953006744384766,0,170,45,63,27
pitt1_2,WOOD,3,0.01036381721496582,0,324,60,121,35
pitt1_2,WOOD,5,0.011129379272460938,0,368,61,137,35
backache,2,2,0.06781888008117676,0,3293,1757,1531,357
backache,2,3,0.7081284523010254,0,39038,17560,17751,595
backache,2,5,15.458613395690918,0,873516,357034,395600,1032
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9650146961212158,0,44310,19653,18208,565
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,31.426562547683716,0,1665107,209170,615246,863
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,278.7669987678528,0,15590579,208874,5130500,870
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9047379493713379,0,276,276,134,130
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.4536287784576416,0,1526,1526,766,277
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.293306827545166,0,7776,4651,3909,367
thyroid_hypothyroid,hypothyroid,2,0.02268362045288086,0,507,348,189,166
thyroid_hypothyroid,hypothyroid,3,0.10037994384765625,0,3947,2439,1290,359
thyroid_hypothyroid,hypothyroid,5,1.534759759902954,0,72017,40086,21274,542
grammatical_a3,1,2,2.9222700595855713,0,150110,6206,100812,709
grammatical_a3,1,3,43.86720252037048,0,2356604,139480,1593968,1056
grammatical_a3,1,5,-1.0,1,-1,-1,-1,-1
crx,positive,2,0.036417245864868164,0,1483,861,633,290
crx,positive,3,0.14218378067016602,0,6868,1933,3413,507
crx,positive,5,0.38804197311401367,0,19104,2788,11561,800
GermanCredit_UCI_,2,2,0.07057547569274902,0,2664,1835,1353,237
GermanCredit_UCI_,2,3,0.5214118957519531,0,26233,9731,14192,388
GermanCredit_UCI_,2,5,2.5199825763702393,0,122317,38431,75186,712
pc1,2,2,0.06369280815124512,0,2749,1512,806,336
pc1,2,3,0.567946195602417,0,30209,10355,9516,575
pc1,2,5,8.561830759048462,0,474655,119869,151173,1282
mfeat-pixel,8,2,18.680485010147095,0,946418,28897,343892,1092
mfeat-pixel,8,3,113.16078567504883,0,5374137,263850,3473284,1892
mfeat-pixel,8,5,-1.0,1,-1,-1,-1,-1
hv_noise,0,2,1.4496657848358154,0,79601,20209,26173,476
hv_noise,0,3,46.202112436294556,0,2667473,667010,802364,855
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.05829977989196777,0,2134,1004,835,317
image,WINDOW,3,0.2591574192047119,0,12073,2881,6002,605
image,WINDOW,5,1.50160813331604,0,75354,12079,43976,1054
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.214761972427368,0,276,276,132,129
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.949037313461304,0,1526,1526,747,312
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,40.284969091415405,0,7776,4651,3885,427
polish_bankruptcy_4year,1,2,0.8638455867767334,0,32361,25940,12510,552
polish_bankruptcy_4year,1,3,38.43138837814331,0,1780025,548428,828262,1132
polish_bankruptcy_4year,1,5,-1.0,1,-1,-1,-1,-1
lung,3,2,0.11366701126098633,0,5896,1268,2542,238
lung,3,3,0.9160513877868652,0,52318,9241,20706,371
lung,3,5,7.453421115875244,0,432686,60496,178600,494
credit,+,2,0.03799867630004883,0,1483,829,640,287
credit,+,3,0.13385891914367676,0,6404,1723,3257,507
credit,+,5,0.3680582046508789,0,17941,2630,10970,897
lymphography,fibrosis,2,0.022664308547973633,0,870,209,330,151
lymphography,fibrosis,3,0.08812952041625977,0,4768,609,1537,228
lymphography,fibrosis,5,0.26482152938842773,0,15640,1096,4256,263
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.05767178535461426,0,156,152,109,103
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.07325601577758789,0,546,291,434,187
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.08494830131530762,0,796,416,684,255
ring,0,2,0.11653661727905273,0,3121,1875,1556,365
ring,0,3,1.1924262046813965,0,48437,5234,30508,717
ring,0,5,4.647965669631958,0,209337,10484,129587,1159
mc1,2,2,0.19967103004455566,0,4325,2472,1248,314
mc1,2,3,2.365290641784668,0,74300,31710,23426,775
mc1,2,5,130.45975160598755,0,5061055,1712327,1759070,1637
thyroid_allhyper,goitre.,2,0.04915022850036621,0,1469,924,550,279
thyroid_allhyper,goitre.,3,0.38845300674438477,0,15813,7378,6407,623
thyroid_allhyper,goitre.,5,11.222042560577393,0,497610,149708,226283,1036
mammographics,1,2,0.008904218673706055,0,183,118,94,66
mammographics,1,3,0.018485069274902344,0,672,269,305,135
mammographics,1,5,0.02365589141845703,0,921,291,443,148
dresses,1,2,0.1092681884765625,0,6894,828,1580,218
