dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting
Balance_UCI_,R,2,0.00847005844116211,0,210,164,75,75
Balance_UCI_,R,3,0.015810012817382812,0,658,164,307,75
Balance_UCI_,R,5,0.01566910743713379,0,658,164,307,75
vert2,NO,2,0.010044574737548828,0,277,195,128,115
vert2,NO,3,0.01950550079345703,0,881,312,475,164
vert2,NO,5,0.02087235450744629,0,927,336,514,177
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,2,18.331591367721558,0,1225,1078,0,0
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,3,111.09130811691284,0,13230,13083,0,0
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,5,-1.0,1,-1,-1,-1,-1
rmftsa_sleepdata,3,2,0.05117487907409668,0,36,21,7,7
rmftsa_sleepdata,3,3,0.005457162857055664,0,36,21,7,7
rmftsa_sleepdata,3,5,0.006818294525146484,0,36,21,7,7
thoracic-surgery,1,2,0.04488849639892578,0,826,623,446,228
thoracic-surgery,1,3,0.14373493194580078,0,5707,4354,2904,392
thoracic-surgery,1,5,6.184086799621582,0,56383,53886,30093,497
kc3,2,2,0.09678888320922852,0,6334,2732,2650,352
kc3,2,3,1.1060314178466797,0,51105,34178,40845,612
kc3,2,5,1155.5019867420197,0,1789554,1434144,1735973,1061
tae,2,2,0.006778240203857422,0,121,69,49,33
tae,2,3,0.008020162582397461,0,200,123,84,58
tae,2,5,0.008461475372314453,0,217,137,93,65
leaf,32,2,0.021792888641357422,0,1017,440,547,239
leaf,32,3,0.05705547332763672,0,3140,1610,2540,372
leaf,32,5,0.1772317886352539,0,6569,4073,5967,475
australian,1,2,0.02033233642578125,0,822,500,364,252
australian,1,3,0.07281255722045898,0,3939,803,2596,407
australian,1,5,0.0806264877319336,0,4256,930,2886,478
dermatology,4,2,0.04199051856994629,0,2278,1321,1330,397
dermatology,4,3,0.34879040718078613,0,18548,6986,15955,742
dermatology,4,5,11.040100574493408,0,135518,86311,132911,1203
Heart_Statlog__UCI_,2,2,0.018352985382080078,0,781,434,373,220
Heart_Statlog__UCI_,2,3,0.053986310958862305,0,3141,619,2158,366
Heart_Statlog__UCI_,2,5,0.05849790573120117,0,3362,726,2375,403
Census-Income_KDD__UCI_,50000+,2,13.880024433135986,0,60149,1911,18688,532
Census-Income_KDD__UCI_,50000+,3,22.28053379058838,0,75780,10314,31373,829
Census-Income_KDD__UCI_,50000+,5,163.67617678642273,0,263318,175104,196563,1195
japanese,+,2,0.02838873863220215,0,1387,470,580,287
japanese,+,3,0.06878924369812012,0,3815,772,2393,455
japanese,+,5,0.07981157302856445,0,4248,962,2794,546
heart_hungarian,1,2,0.006521940231323242,0,78,51,28,22
heart_hungarian,1,3,0.007050514221191406,0,133,89,50,39
heart_hungarian,1,5,0.0074880123138427734,0,143,99,57,46
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,2,0.35094404220581055,0,301,251,182,131
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,3,0.6171071529388428,0,1356,436,990,242
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,5,0.6728146076202393,0,1356,436,990,242
forest,h ,2,0.08082461357116699,0,5158,460,2171,283
forest,h ,3,0.10592222213745117,0,6501,595,3514,409
forest,h ,5,0.10906410217285156,0,6633,658,3646,453
robot5,bottom_collision,2,0.03303337097167969,0,353,274,140,132
robot5,bottom_collision,3,0.04090452194213867,0,1641,529,890,266
robot5,bottom_collision,5,0.04336977005004883,0,1881,627,1130,312
pen,6,2,0.08102655410766602,0,1490,382,446,247
pen,6,3,0.13992834091186523,0,3355,611,2311,440
pen,6,5,0.15148591995239258,0,3706,723,2662,565
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,2,1.834787368774414,0,1225,1078,0,0
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,3,9.343292474746704,0,13230,13083,0,0
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,5,65.80915474891663,0,97265,13083,0,0
robot3,slightly_moved,2,0.012176990509033203,0,379,326,167,146
robot3,slightly_moved,3,0.03996896743774414,0,2134,888,1026,258
robot3,slightly_moved,5,0.056902408599853516,0,2614,1087,1473,284
DefaultofCreditCard,1,2,0.42576169967651367,0,6019,2573,2849,351
DefaultofCreditCard,1,3,2.676490306854248,0,44307,12367,26874,436
DefaultofCreditCard,1,5,15.399278402328491,0,109682,53372,60214,453
zoo,7,2,0.010831594467163086,0,312,219,184,131
zoo,7,3,0.02463078498840332,0,1183,647,802,313
zoo,7,5,0.07719826698303223,0,3391,2138,3008,509
breast_tissue,gla,2,0.023667573928833008,0,387,92,159,53
breast_tissue,gla,3,0.01495361328125,0,475,159,221,106
breast_tissue,gla,5,0.014208793640136719,0,550,232,294,152
flare, B,2,0.010616779327392578,0,231,170,90,84
flare, B,3,0.02190399169921875,0,849,465,374,179
flare, B,5,0.03864431381225586,0,1589,661,1019,332
banana,1,2,0.006502628326416016,0,36,24,13,13
banana,1,3,0.006300926208496094,0,36,24,13,13
banana,1,5,0.006544589996337891,0,36,24,13,13
polish_bankruptcy_2year,1,2,0.79827880859375,0,32386,27521,13182,553
polish_bankruptcy_2year,1,3,50.81261134147644,0,1771345,403323,858120,983
polish_bankruptcy_2year,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_3year,1,2,0.8737528324127197,0,32640,29135,13845,601
polish_bankruptcy_3year,1,3,58.62314295768738,0,2034862,616650,951201,930
polish_bankruptcy_3year,1,5,-1.0,1,-1,-1,-1,-1
qualitative,B,2,0.00836944580078125,0,154,95,60,52
qualitative,B,3,0.011441469192504883,0,321,168,189,127
qualitative,B,5,0.012044906616210938,0,388,208,256,176
mfeat-morphological,8,2,0.009552240371704102,0,192,101,42,39
mfeat-morphological,8,3,0.014803409576416016,0,351,241,121,110
mfeat-morphological,8,5,0.017068862915039062,0,516,339,223,167
fourclass,1,2,0.0050771236419677734,0,36,19,12,12
fourclass,1,3,0.005016326904296875,0,36,19,12,12
fourclass,1,5,0.005021572113037109,0,36,19,12,12
liver,1,2,0.010450124740600586,0,300,246,131,122
liver,1,3,0.027294158935546875,0,1340,413,634,171
liver,1,5,0.02987980842590332,0,1411,424,671,173
badges2,1,2,0.012140989303588867,0,355,282,181,145
badges2,1,3,0.03178882598876953,0,1669,438,915,302
badges2,1,5,0.03561592102050781,0,1832,511,1040,365
kc1-binary,1,2,0.46704888343811035,0,30425,5286,18862,422
kc1-binary,1,3,2.736163377761841,0,125631,37535,110957,628
kc1-binary,1,5,776.4673452377319,0,1077923,975290,1034298,768
tao,black,2,0.0056455135345458984,0,36,22,12,12
tao,black,3,0.006078004837036133,0,36,22,12,12
tao,black,5,0.006032228469848633,0,36,22,12,12
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,2,58.749465465545654,0,5050,2800,2327,362
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,5,-1.0,1,-1,-1,-1,-1
breast_cancer_wis_pro2,R,2,0.23633170127868652,0,8796,3879,3938,370
breast_cancer_wis_pro2,R,3,1.9979724884033203,0,54605,8943,40919,447
breast_cancer_wis_pro2,R,5,2.270961046218872,0,65372,15573,49977,546
soybean_small,D3,2,0.014682531356811523,0,493,261,313,168
soybean_small,D3,3,0.03138566017150879,0,1532,757,1142,342
soybean_small,D3,5,0.05814480781555176,0,2797,1219,2403,447
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,2,0.005951881408691406,0,10,8,0,0
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,3,0.005374431610107422,0,10,8,0,0
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,5,0.0055005550384521484,0,10,8,0,0
semeion,8,2,3.2955424785614014,0,128783,84484,56836,807
semeion,8,3,348.0550558567047,0,10014640,2608389,7083253,1378
semeion,8,5,-1.0,1,-1,-1,-1,-1
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,2,1.394517421722412,0,80200,424,41287,176
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,3,1.3612990379333496,0,80200,424,41287,176
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,5,1.3873090744018555,0,80200,424,41287,176
molecular_splice,IE,2,0.6802568435668945,0,28729,5518,13007,581
molecular_splice,IE,3,3.1371779441833496,0,112775,6453,96162,763
molecular_splice,IE,5,3.1827077865600586,0,113192,6670,96579,808
audiology_std,cochlear_noise_and_heredity,2,0.04026675224304199,0,1900,1830,1832,234
audiology_std,cochlear_noise_and_heredity,3,0.7303452491760254,0,36120,36050,36052,397
audiology_std,cochlear_noise_and_heredity,5,-1.0,1,-1,-1,-1,-1
automobile,-1,2,0.041365623474121094,0,2387,721,1141,283
automobile,-1,3,0.11657977104187012,0,6841,2872,5322,449
automobile,-1,5,0.8194034099578857,0,20189,10454,18634,660
volcanoes-d2,3,2,0.009917974472045898,0,78,55,17,17
volcanoes-d2,3,3,0.011250734329223633,0,125,86,36,36
volcanoes-d2,3,5,0.011409997940063477,0,125,86,36,36
grammatical_a2,1,2,0.4690268039703369,0,20308,4524,19554,748
grammatical_a2,1,3,3.1989846229553223,0,139101,97372,138347,1002
grammatical_a2,1,5,-1.0,1,-1,-1,-1,-1
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,2,3.253344774246216,0,325,275,0,0
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,3,7.019699335098267,0,1575,1525,0,0
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,5,28.01887822151184,0,7825,4650,0,0
analcatdata_authorship,4,2,0.5789566040039062,0,34459,1018,14289,626
analcatdata_authorship,4,3,0.6690704822540283,0,39202,1584,19031,807
analcatdata_authorship,4,5,0.7110264301300049,0,40214,2037,20043,904
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,2,17.421109676361084,0,1130,990,811,141
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,3,97.70580720901489,0,11595,990,9658,141
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,5,97.54300427436829,0,11595,990,9658,141
EqualDist_Random-Synthetic__2_7_8520_,0,2,0.02889275550842285,0,561,493,244,189
EqualDist_Random-Synthetic__2_7_8520_,0,3,0.11775398254394531,0,4067,3999,1973,394
EqualDist_Random-Synthetic__2_7_8520_,0,5,2.9341139793395996,0,29141,14179,17329,549
cmc,3,2,0.016208648681640625,0,465,388,195,160
cmc,3,3,0.061438798904418945,0,2833,1906,1244,316
cmc,3,5,0.41075778007507324,0,9759,6456,5872,439
Adult_UCI_,>50K,2,0.24844765663146973,0,3338,402,822,228
Adult_UCI_,>50K,3,0.3342101573944092,0,4541,695,1621,350
Adult_UCI_,>50K,5,0.3732912540435791,0,5004,977,2053,439
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,2,0.011225223541259766,0,7,5,4,4
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,3,0.011127233505249023,0,7,5,4,4
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,5,0.011098146438598633,0,7,5,4,4
monks1,0,2,0.019879579544067383,0,137,119,80,80
monks1,0,3,0.013186931610107422,0,479,461,363,179
monks1,0,5,0.02945256233215332,0,1144,726,979,194
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,2,0.35752201080322266,0,21610,6816,10606,460
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,3,4.17188286781311,0,194031,7609,115760,469
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,5,4.183897256851196,0,194046,7609,115773,469
grammatical_a1,1,2,1.4853243827819824,0,81793,9366,76207,689
grammatical_a1,1,3,9.333509922027588,0,428891,283625,423305,892
grammatical_a1,1,5,-1.0,1,-1,-1,-1,-1
mfeat-zernike,8,2,0.356691837310791,0,17766,10603,7357,516
mfeat-zernike,8,3,9.353164434432983,0,386016,71922,301513,697
mfeat-zernike,8,5,547.2885818481445,0,1024868,373201,939345,804
twonorm,1,2,0.11063814163208008,0,3240,413,1538,333
twonorm,1,3,0.15357518196105957,0,4948,413,3246,333
twonorm,1,5,0.15363740921020508,0,4948,413,3246,333
auto7_1,class3,2,0.02134561538696289,0,780,733,382,242
auto7_1,class3,3,0.15109014511108398,0,8230,6601,4037,469
auto7_1,class3,5,2.1132795810699463,0,40197,13794,25452,592
grammatical_b4,1,2,4.0494513511657715,0,237512,8370,204839,744
grammatical_b4,1,3,8.876559495925903,0,444937,118428,412255,897
grammatical_b4,1,5,-1.0,1,-1,-1,-1,-1
wave2,2,2,0.3529083728790283,0,12880,1846,6245,487
wave2,2,3,0.707728385925293,0,23622,2331,16987,511
wave2,2,5,0.7461166381835938,0,24810,2803,18175,511
volcanoes-d1,3,2,0.009953022003173828,0,78,56,15,15
volcanoes-d1,3,3,0.01154470443725586,0,128,89,35,35
volcanoes-d1,3,5,0.011451482772827148,0,128,89,35,35
mfeat-fourier,8,2,0.913790225982666,0,46360,22343,20436,509
mfeat-fourier,8,3,28.592079162597656,0,1005947,47858,886625,702
mfeat-fourier,8,5,54.659958362579346,0,1121678,94023,1002356,804
breast,recurrence-events,2,0.013634920120239258,0,476,274,217,131
breast,recurrence-events,3,0.03139138221740723,0,1538,883,753,219
breast,recurrence-events,5,0.06465792655944824,0,2742,1575,1170,229
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,2,3.0781455039978027,0,301,251,182,148
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,3,6.274353265762329,0,1356,436,990,221
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,5,6.298281669616699,0,1356,436,990,221
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,2,33.02878952026367,0,325,275,0,0
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,3,72.96537399291992,0,1575,1525,0,0
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,5,458.80671977996826,0,7825,4650,0,0
horse_colic_outcome,2,2,0.03581643104553223,0,70,0,36,0
horse_colic_outcome,2,3,0.0077435970306396484,0,70,0,36,0
horse_colic_outcome,2,5,0.0069522857666015625,0,70,0,36,0
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,2,0.09787750244140625,0,3259,1421,1607,300
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,3,0.635906457901001,0,19577,4061,10340,387
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,5,0.6328620910644531,0,24112,4077,13370,387
wall4,Slight-Right-Turn,2,0.008956432342529297,0,82,59,33,33
wall4,Slight-Right-Turn,3,0.010254859924316406,0,156,120,78,75
wall4,Slight-Right-Turn,5,0.01112508773803711,0,180,138,98,90
hayes,2,2,0.005922555923461914,0,81,48,35,29
hayes,2,3,0.006704568862915039,0,121,64,71,44
hayes,2,5,0.006685495376586914,0,121,64,71,44
analcatdata_germangss,4,2,0.008348941802978516,0,171,134,27,25
analcatdata_germangss,4,3,0.013946056365966797,0,514,269,128,71
analcatdata_germangss,4,5,0.015386581420898438,0,572,286,155,77
thyroid_allhypo,primary hypothyroid.,2,0.03747820854187012,0,1099,775,556,289
thyroid_allhypo,primary hypothyroid.,3,0.2650465965270996,0,8950,6048,5880,593
thyroid_allhypo,primary hypothyroid.,5,16.750514268875122,0,145558,92666,130495,1111
user,High,2,0.00854182243347168,0,191,147,73,71
user,High,3,0.014774560928344727,0,592,149,326,71
user,High,5,0.01477956771850586,0,592,149,326,71
thyroid_dis,discordant.,2,0.04387974739074707,0,1390,1163,578,300
thyroid_dis,discordant.,3,0.4206576347351074,0,15428,11772,7693,540
thyroid_dis,discordant.,5,97.94633054733276,0,420564,330172,298168,973
synthetic_control,4,2,0.2221982479095459,0,11868,1232,7895,855
synthetic_control,4,3,0.49374866485595703,0,26157,4978,22184,1134
synthetic_control,4,5,1.503692388534546,0,44724,13589,40751,1221
titanic,1,2,0.006094694137573242,0,36,26,17,16
titanic,1,3,0.006203889846801758,0,48,38,25,24
titanic,1,5,0.006002664566040039,0,48,38,25,24
secom,1,2,0.4003159999847412,0,19306,18684,8999,627
secom,1,3,27.688485622406006,0,1137645,597606,527130,1140
secom,1,5,-1.0,1,-1,-1,-1,-1
wine,1,2,0.020388126373291016,0,913,238,540,224
wine,1,3,0.02970719337463379,0,1582,299,1209,294
wine,1,5,0.03050971031188965,0,1603,307,1230,298
thyroid_allrep,overreplacement.,2,0.03134274482727051,0,844,740,575,299
thyroid_allrep,overreplacement.,3,0.24045133590698242,0,8300,6498,6548,590
thyroid_allrep,overreplacement.,5,21.09487557411194,0,179328,119525,160105,1144
post,S,2,0.008020401000976562,0,176,112,76,51
post,S,3,0.012207746505737305,0,436,273,188,127
post,S,5,0.017685651779174805,0,675,457,311,179
human,1,2,26.993749380111694,0,853092,29928,786122,951
human,1,3,80.46616291999817,0,1957993,245981,1891023,1085
human,1,5,-1.0,1,-1,-1,-1,-1
connectionist_sonar,R,2,0.4365568161010742,0,28920,797,13968,562
connectionist_sonar,R,3,0.47916722297668457,0,30370,966,15407,605
connectionist_sonar,R,5,0.478010892868042,0,30424,997,15461,606
hiv_746,-1,2,0.1424882411956787,0,9751,384,4041,118
hiv_746,-1,3,0.18359827995300293,0,10141,609,4058,118
hiv_746,-1,5,0.19249367713928223,0,10514,968,4060,118
madelon,1,2,41.248966455459595,0,1989019,1961118,959635,1126
madelon,1,3,-1.0,1,-1,-1,-1,-1
madelon,1,5,-1.0,1,-1,-1,-1,-1
NormalDist_Random-Synthetic__2_14_7418_,0,2,0.0689084529876709,0,1891,1727,892,325
NormalDist_Random-Synthetic__2_14_7418_,0,3,0.7890841960906982,0,29113,22977,15105,607
NormalDist_Random-Synthetic__2_14_7418_,0,5,232.0015516281128,0,646654,310036,361361,889
led,2,2,0.007070064544677734,0,105,90,40,40
led,2,3,0.010830163955688477,0,320,285,146,130
led,2,5,0.018015146255493164,0,649,455,366,208
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,2,0.01112222671508789,0,325,233,131,110
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,3,0.024815797805786133,0,1117,538,554,195
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,5,0.03414773941040039,0,1521,645,764,217
auto4,class1,2,1.6387481689453125,0,75466,72492,37080,855
auto4,class1,3,257.71015191078186,0,8717427,704317,4454637,955
auto4,class1,5,-1.0,1,-1,-1,-1,-1
Tic-Tac-ToeEndgame_UCI_,negative,2,0.013658761978149414,0,378,351,151,142
Tic-Tac-ToeEndgame_UCI_,negative,3,0.05109858512878418,0,2646,1461,1135,302
Tic-Tac-ToeEndgame_UCI_,negative,5,0.1170966625213623,0,4851,1789,2979,417
Covertype,7,2,5.850799798965454,0,5484,3137,2292,323
Covertype,7,3,57.45722031593323,0,68475,57485,40753,583
Covertype,7,5,-1.0,1,-1,-1,-1,-1
pc4,2,2,0.24394965171813965,0,7383,3772,3097,419
pc4,2,3,2.1549389362335205,0,74010,23909,54225,639
pc4,2,5,170.10383915901184,0,572496,406905,533869,847
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,2,-1.0,1,-1,-1,-1,-1
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
firm,1,2,0.13367199897766113,0,704,616,353,230
firm,1,3,0.5857813358306885,0,6721,6561,3864,474
firm,1,5,3.226515531539917,0,49207,7386,30684,759
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,2,0.6735570430755615,0,5050,2795,2402,356
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,3,5.5085718631744385,0,56651,27037,28797,594
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,5,125.7339563369751,0,441736,85733,229023,705
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,2,4.0683815479278564,0,39427,21040,19267,548
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,3,107.54571461677551,0,1126071,367824,594134,812
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,5,-1.0,1,-1,-1,-1,-1
Stroke_Kaggle_,1,2,0.023054122924804688,0,467,393,218,159
Stroke_Kaggle_,1,3,0.08318161964416504,0,3018,2174,1608,307
Stroke_Kaggle_,1,5,0.9113438129425049,0,15640,11161,11651,380
spambase,1,2,0.1917104721069336,0,7362,2161,3675,753
spambase,1,3,1.3237864971160889,0,44066,29559,19981,818
spambase,1,5,-1.0,1,-1,-1,-1,-1
echocardio,1,2,0.012717723846435547,0,470,68,219,33
echocardio,1,3,0.01284027099609375,0,481,74,224,34
echocardio,1,5,0.012680530548095703,0,481,74,224,34
phoneme,1,2,0.013299703598022461,0,210,174,84,84
phoneme,1,3,0.026378870010375977,0,782,368,356,206
phoneme,1,5,0.035289764404296875,0,948,439,517,223
texture,14,2,0.34127354621887207,0,12406,2704,4638,571
texture,14,3,1.3026094436645508,0,46920,4250,38776,874
texture,14,5,1.406364917755127,0,49474,4969,41330,937
statlog_is,7,2,0.04115939140319824,0,1611,287,647,311
statlog_is,7,3,0.06217050552368164,0,2577,404,1611,485
statlog_is,7,5,0.06460356712341309,0,2766,490,1800,596
banknote,1,2,0.007780313491821289,0,121,85,56,53
banknote,1,3,0.009958267211914062,0,248,161,136,119
banknote,1,5,0.010663509368896484,0,273,181,161,141
NormalDist_Random-Synthetic__2_6_5132_,1,2,0.01211094856262207,0,153,131,71,71
NormalDist_Random-Synthetic__2_6_5132_,1,3,0.022611379623413086,0,545,523,278,208
NormalDist_Random-Synthetic__2_6_5132_,1,5,0.06954073905944824,0,1909,1752,1009,345
ilpd,2,2,0.01877450942993164,0,741,583,348,222
ilpd,2,3,0.0899965763092041,0,5012,1968,2952,335
ilpd,2,5,0.20810747146606445,0,7757,3389,5570,376
EqualDist_Random-Synthetic__2_7_7307_,0,2,0.021600723266601562,0,378,324,168,148
EqualDist_Random-Synthetic__2_7_7307_,0,3,0.06689953804016113,0,2103,2049,1055,345
EqualDist_Random-Synthetic__2_7_7307_,0,5,1.1777746677398682,0,17307,12395,9331,545
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,2,1.0408384799957275,0,325,275,132,126
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,3,2.091374158859253,0,1575,1273,743,285
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,5,4.159735441207886,0,4033,2744,1948,376
satimage,5,2,0.29621362686157227,0,10014,771,3233,444
satimage,5,3,0.4865231513977051,0,17154,5763,10373,805
satimage,5,5,10.06781005859375,0,106205,65553,99424,1234
turkiye,11,2,0.3287482261657715,0,11781,9265,4926,441
turkiye,11,3,8.985473871231079,0,322466,124894,153677,728
turkiye,11,5,-1.0,1,-1,-1,-1,-1
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,2,1.6808180809020996,0,1039,902,377,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,3,7.227731227874756,0,9964,902,4494,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,5,7.217617034912109,0,9964,902,4494,139
auto2, class2,2,12.274513006210327,0,304590,303675,151921,945
auto2, class2,3,-1.0,1,-1,-1,-1,-1
auto2, class2,5,-1.0,1,-1,-1,-1,-1
oil_spill,2,2,0.30234813690185547,0,17025,9923,7016,404
oil_spill,2,3,6.985188245773315,0,292392,22483,211288,685
oil_spill,2,5,43.754762172698975,0,422228,92947,340861,825
DryBeans,HOROZ,2,0.08269238471984863,0,1717,244,507,263
DryBeans,HOROZ,3,0.1033015251159668,0,2501,361,1291,413
DryBeans,HOROZ,5,0.11629128456115723,0,2889,726,1679,555
spectf_heart,0,2,0.24359536170959473,0,15054,6711,7395,571
spectf_heart,0,3,3.5034260749816895,0,163894,10927,139809,711
spectf_heart,0,5,3.9246954917907715,0,166283,11189,142198,740
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,2,32.01146936416626,0,301,251,182,131
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,3,63.95252227783203,0,1356,436,990,215
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,5,64.23094367980957,0,1356,436,990,215
planning,2,2,0.0242919921875,0,1176,779,494,219
planning,2,3,0.10004472732543945,0,5943,1046,2781,245
planning,2,5,0.10424923896789551,0,5987,1084,2799,246
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,2,0.005938291549682617,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,3,0.0055925846099853516,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,5,0.0053560733795166016,0,7,5,4,4
trains,west,2,0.007490873336791992,0,80,0,32,0
trains,west,3,0.007419586181640625,0,80,0,32,0
trains,west,5,0.007960796356201172,0,80,0,32,0
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,2,1.962656021118164,0,80200,66611,40530,668
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,3,223.2020206451416,0,6155938,66611,2985345,668
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,5,220.1580958366394,0,6155938,66611,2985345,668
appendicitis,1,2,0.011206865310668945,0,379,80,105,34
appendicitis,1,3,0.012161016464233398,0,438,118,143,64
appendicitis,1,5,0.012357473373413086,0,462,139,166,84
mc2,2,2,0.16836190223693848,0,9870,1660,3916,392
mc2,2,3,0.41948819160461426,0,22435,8285,14815,654
mc2,2,5,17.652324438095093,0,174061,146322,164593,816
breast_cancer_wis_ori,M,2,0.11084127426147461,0,7141,225,2887,338
breast_cancer_wis_ori,M,3,0.11753988265991211,0,7504,283,3250,427
breast_cancer_wis_ori,M,5,0.1180424690246582,0,7571,339,3317,473
urban,shadow ,2,2.254689931869507,0,135009,2637,64970,680
urban,shadow ,3,2.754986524581909,0,160421,10570,90382,953
urban,shadow ,5,55.174712896347046,0,462021,303353,391982,1038
parkinsons,0,2,0.055727243423461914,0,3658,510,1462,303
parkinsons,0,3,0.09357547760009766,0,6170,1060,3974,444
parkinsons,0,5,0.12219357490539551,0,7434,1622,5238,526
haberman,2,2,0.0059719085693359375,0,66,49,29,28
haberman,2,3,0.006686687469482422,0,107,56,50,29
haberman,2,5,0.006701469421386719,0,107,56,50,29
pitt1_3,LONG,2,0.008370399475097656,0,214,67,94,37
pitt1_3,LONG,3,0.009034872055053711,0,255,94,115,50
pitt1_3,LONG,5,0.00925302505493164,0,259,96,116,51
NormalDist_Random-Synthetic__2_8_5616_,0,2,0.028272390365600586,0,741,645,315,213
NormalDist_Random-Synthetic__2_8_5616_,0,3,0.14102387428283691,0,6167,4879,3030,438
